province,topic,date,content,label,score,is_match,是否为“学习考察”新闻
广东省,习近平在青海考察,2024-06-20,习近平在青海考察时强调 持续推进青藏高原生态保护和高质量发展 奋力谱写中国式现代化青海篇章。中共中央总书记、国家主席、中央军委主席习近平近日在青海考察时强调，青海要认真贯彻党中央决策部署，完整准确全面贯彻新发展理念，牢牢把握青海在全国发展大局中的战略定位，充分发挥自身优势，坚持深化改革、扩大开放，坚持生态优先、绿色发展，坚持民族团结、共同富裕，在推进青藏高原生态保护和高质量发展上取得更大进展，奋力谱写中国式现代化青海篇章。。6月18日至19日，习近平在青海省委书记陈刚和省长吴晓军陪同下，深入西宁市的学校、宗教场所等进行调研。。6月18日至19日，中共中央总书记、国家主席、中央军委主席习近平在青海考察。这是18日下午，习近平在果洛西宁民族中学食堂察看学生就餐条件。图片来源：新华网。18日下午，习近平首先来到果洛西宁民族中学考察。这是一所隶属于果洛藏族自治州的寄宿制中学，由上海市投资援建。习近平听取上海等东部地区援助青海教育工作和学校建设情况介绍，详细询问学生构成、课程设置、体育锻炼、普通话水平等情况，走进食堂、宿舍楼察看学生就餐和住宿条件，嘱咐食堂工作人员一定要确保学生饮食安全、营养可口。之后，他来到高一（1）班教室，观摩“新时代、新家乡”主题思政课。了解到学校将思政课内容融入日常教学，听了孩子们讲述新时代家乡的可喜变化，看了孩子们的画作，习近平十分高兴。他说，包括教育在内的东西部协作和对口支援取得显著成效，充分彰显了中国共产党领导和中国特色社会主义制度的优势，充分体现了中华民族大家庭的温暖。要把铸牢中华民族共同体意识作为学校思政课的一个重点，讲好中国共产党和中国特色社会主义的故事，讲好新时代以中国式现代化全面推进强国建设、民族复兴伟业的故事，讲好中华民族共同体和民族团结进步的故事，把中华民族共同体意识从小就植入孩子们的心灵。。教学楼前广场上，师生们纷纷围拢过来，高声向总书记问好。习近平亲切地对大家说，我到西宁第一站就来看望老师和同学们。上海援建的这所中学，培养来自果洛牧区的各民族孩子，成效明显，意义深远。希望孩子们倍加珍惜这里的良好条件，心怀感恩、好好学习，德智体美劳全面发展，立志成为中国特色社会主义事业的接班人和建设者，努力为自己赢得人生出彩的机会。他祝孩子们学有所成、健康成长。。随后，习近平来到位于西宁市城中区的宏觉寺。在寺前院落，宏觉寺民主管理委员会负责人向总书记敬献哈达，僧人提香炉、持宝伞迎接总书记。习近平参观青海省民族团结进步教育基地展陈等，了解寺庙历史沿革、老一辈革命家关心推动民族工作和宗教工作的情况。他走进大殿，听取寺庙加强日常管理、促进民族团结进步等情况介绍。习近平指出，宏觉寺这座千年古刹，在增进历代中央政府与藏传佛教联系方面发挥了重要的桥梁纽带作用。要保护好这份珍贵的历史文化遗产，为铸牢中华民族共同体意识、促进民族团结进步作出新贡献。要向老一辈革命家学习，把新时代党的统战工作、民族工作、宗教工作做得更好。习近平强调，以中国式现代化全面推进强国建设、民族复兴伟业，需要全国各族人民包括广大信教群众团结奋斗。希望青海藏传佛教界弘扬爱国爱教优良传统，促进宗教和顺、社会和谐、民族和睦，在中国式现代化进程中发挥积极作用。。19日上午，习近平听取青海省委和省政府工作汇报，对青海各项工作取得的成绩给予肯定。,其他,0.7955425602942059,True,是
广东省,习近平在宁夏考察,2024-06-22,习近平在宁夏考察时强调 建设黄河流域生态保护和高质量发展先行区 在中国式现代化建设中谱写好宁夏篇章。中共中央总书记、国家主席、中央军委主席习近平近日在宁夏考察时强调，宁夏要深入贯彻新发展理念，坚持稳中求进工作总基调，以铸牢中华民族共同体意识为主线，以黄河流域生态保护和高质量发展先行区建设为牵引，统筹推进高质量发展和高水平保护、全面深化改革和扩大开放、新型城镇化和乡村振兴、民族团结和共同富裕等工作，加快建设经济繁荣、民族团结、环境优美、人民富裕的美丽新宁夏，奋力谱写中国式现代化宁夏篇章。。6月19日，习近平结束在青海考察后，来到宁夏。当天下午，他在宁夏回族自治区党委书记梁言顺和自治区政府主席张雨浦陪同下，到银川市调研。。6月19日至20日，中共中央总书记、国家主席、中央军委主席习近平在宁夏考察。这是19日下午，习近平在银川市金凤区长城花园社区党群服务中心便民服务厅了解社区开展便民惠民服务等情况。图片来源：新华网。银川市金凤区长城花园社区是个多民族聚居的大型社区。习近平首先来到社区党群服务中心，走进便民服务厅、社区卫生站、爱心超市，听取社区工作介绍，详细了解社区发挥基层党组织作用、开展邻里活动和便民惠民服务等情况。随后，他来到社区活动室，饶有兴致地观看居民剪纸创作、舞蹈排练，同大家亲切交流，鼓励退休居民既要老有所养、老有所乐，又要老有所为。习近平指出，社区党组织是党联系基层群众的神经末梢，要在社区中发挥领导作用。社区党组织建好建强了，社区工作就有了主心骨。要坚持党建引领，紧紧围绕解决居民的急难愁盼问题，把服务老百姓的各项工作做深做细做到位。。习近平来到社区居民赵守成家中，同一家人围坐在一起拉家常，了解他们的就业、收入、医保报销、孩子上学等情况，为他们的幸福生活点赞，鼓励孩子德智体美劳全面发展。赵守成告诉总书记，当地党委和政府十分关心社区建设，特别是在改造老旧小区、丰富居民文体生活等方面做了很多实事，各族群众在社区里和睦相处，生活过得很舒心。习近平强调，我们党是全心全意为人民服务的党，各族群众、家家户户都是我的牵挂。希望你们把家庭建设搞得更好，让日子越过越红火。。傍晚时分，社区广场十分热闹，居民们看见总书记来了，纷纷围拢过来，热烈鼓掌欢迎。习近平亲切地对大家说，时隔4年，我再次来宁夏看望各族干部群众，见到大家非常高兴！中华民族是一个大家庭，各族人民要像石榴籽一样紧紧抱在一起。要不断铸牢中华民族共同体意识，把各族人民的心紧紧连在一起，把各方面的力量广泛凝聚到一起，共同推进中国式现代化，共襄中华民族伟大复兴的盛举。。20日上午，习近平听取宁夏回族自治区党委和政府工作汇报，对宁夏工作取得的成绩给予肯定。。习近平指出，宁夏地理环境和资源禀赋独特，要走特色化、差异化的产业发展路子，构建体现宁夏优势、具有较强竞争力的现代化产业体系。宁夏的现代煤化工和新型材料产业，风电、光伏、氢能等清洁能源产业，葡萄酒、枸杞等特色产业，要精耕细作、持续发展。加强文化与旅游深度融合，积极发展特色旅游、全域旅游。强化科技创新和产业创新融合，加大科技成果转化应用力度，促进传统产业转型升级，培育战略性新兴产业，因地制宜发展新质生产力。宁夏北部引黄灌区、中部干旱带、南部山区各有特点，要把准各地产业发展基础、资源环境容量、开放开发潜力，加强统筹规划和产业合作，推动形成山川共济、城乡融合、区域联动的发展格局。。习近平在青海考察时强调 持续推进青藏高原生态保护和高质量发展 奋力谱写中国式现代化青海篇章,政府领导到其他城市考察学习或访问,0.0,False,否
广东省,广东省党政代表团赴北京市学习考察学习好经验好做法更好推进广东现代化建设紧密携手推动重大国家战略落地落实黄坤明尹力讲话王伟中殷勇孟凡利参加有关活动,2024-06-27,广东省党政代表团赴北京市学习考察 学习好经验好做法更好推进广东现代化建设 紧密携手推动重大国家战略落地落实 黄坤明尹力讲话 王伟中殷勇孟凡利参加有关活动。6月26日，广东省党政代表团前往北京市，深入贯彻落实党的二十大精神和习近平总书记视察广东重要讲话精神，认真学习首都推进现代化建设的好经验好做法，紧密携手北京推进重大国家战略实施，共同服务全国发展大局。其间，两省市进行座谈交流，共商合作、共谋发展。省委书记黄坤明、北京市委书记尹力出席并讲话。省委副书记、省长王伟中，北京市委副书记、市长殷勇，省委副书记、深圳市委书记孟凡利参加有关活动。。代表团一行来到中关村国家自主创新示范区，走进展示中心和北京智源人工智能研究院、旷视科技公司等入驻企业，详细了解园区功能定位、空间布局以及发展前沿科技和未来产业的最新成果，充分汲取北京加快打造国际科技创新中心、着力培育新质生产力的先进经验；实地考察北京城市副中心建设，走进行政办公区和北京城市图书馆，听取关于规划理念、功能布局的介绍，察看新区整体风貌和重点民生工程运营情况，学习借鉴北京强化规划管理、打造国际一流的和谐宜居之都的创新举措。。座谈中，黄坤明代表省委、省政府和代表团感谢北京市的热情接待和精心安排，对北京市长期以来给予广东工作的大力支持表示感谢，并简要介绍了广东经济社会发展情况。他说，北京是伟大祖国的首都和心脏，是我国政治中心、文化中心、国际交往中心、科技创新中心，也是全国人民心向往之的地方。近年来，北京市委、市政府深入贯彻落实习近平总书记对北京重要讲话、重要指示精神，深入实施京津冀协同发展战略，大力加强“四个中心”功能建设，提高“四个服务”水平，推动首都现代化建设展现新作为、迈上新台阶。这次学习考察，代表团深切感受到新时代首都发展日新月异的蓬勃气象、首善之区高质量发展的澎湃动能，特别是对北京在畅通教育、科技、人才良性循环上取得的新成果印象深刻，对北京各项事业发展取得的新成绩表示祝贺。当前，广东正深入学习贯彻习近平总书记视察广东重要讲话精神，坚持以高质量发展为牵引，扎实推进中国式现代化的广东实践。北京高质量发展水平全国领先，创造了许多宝贵经验，是广东学习的榜样。我们将认真学习北京服务中心、服务大局的政治担当，创新驱动、产业融合的有效路径，解放思想、与时俱进的改革气魄，科学规划、高效建设的开发理念，努力把广东各项工作做得更好更富有成效。京津冀和粤港澳大湾区都是引领全国高质量发展的重要动力源，北京作为京津冀协同发展的“一核”，广东作为粤港澳大湾区建设的重要责任主体，都在落实重大国家战略中肩负光荣使命和重大责任。希望以此次学习考察为契机，着眼强化优势互补，进一步加强战略对接，聚焦深化改革扩大开放、推动产业科技互促双强、繁荣发展文化事业、提升民生保障水平等加强务实合作，互学互鉴自贸区建设、制度型开放、营造良好营商环境等方面的创新举措，携手塑造发展新动能新优势，切实造福两地父老乡亲，更好服务国家发展大局。。省领导张虎、王曦、郭永航、肖亚非、刘红兵、郑轲；北京市领导赵磊、谈绪祥参加有关活动。。广东省党政代表团赴河北学习考察 推动更深层次更高水平交流合作 在协同落实重大国家战略中更好服务和融入新发展格局 黄坤明倪岳峰讲话 王伟中王正谱孟凡利参加有关活动。广东省党政代表团赴天津学习考察 加强发展战略协同对接 推动务实合作走深走实 携手并进共同迈向现代化 黄坤明陈敏尔讲话 王伟中张工孟凡利陈辐宽参加有关活动,政府领导到其他城市考察学习或访问,0.678572307173169,True,是
广东省,习近平在青海考察调研,2024-06-19,18日下午，习近平总书记在青海省考察调研。他先后来到西宁市的果洛西宁民族中学和宏觉寺，了解当地深入推进教育工作东西部协作和对口支援、加强铸牢中华民族共同体意识教育和藏传佛教界弘扬爱国爱教优良传统、促进民族团结进步等情况。,政府领导到其他城市考察学习或访问,0.0,False,否
广东省,习近平在宁夏考察调研,2024-06-21,19日下午，习近平总书记在宁夏回族自治区考察调研。他来到银川市金凤区长城花园社区，了解社区发挥基层党组织作用、优化便民惠民服务、推动各族群众交往交流交融等情况。。习近平在青海考察时强调 持续推进青藏高原生态保护和高质量发展 奋力谱写中国式现代化青海篇章,政府领导到其他城市考察学习或访问,0.0,False,否
广东省,广东省党政代表团赴河北学习考察推动更深层次更高水平交流合作在协同落实重大国家战略中更好服务和融入新发展格局黄坤明倪岳峰讲话王伟中王正谱孟凡利参加有关活动,2024-06-26,广东省党政代表团赴河北学习考察 推动更深层次更高水平交流合作 在协同落实重大国家战略中更好服务和融入新发展格局 黄坤明倪岳峰讲话 王伟中王正谱孟凡利参加有关活动。代表团一行深入雄安新区开发建设一线，走进雄安规划展示中心，听取雄安新区规划建设进展介绍，全面了解这座“未来之城”从无到有、日新月异的发展变化；来到位于雄安新区启动区的中国星网总部大楼项目现场，实地了解互联网产业园规划建设以及央企功能布局、业务开展情况，学习借鉴雄安新区抢抓央企总部疏解机遇、大力发展高端高新产业的有效做法；走进东西轴线雄安城际站调度指挥中心，详细了解综合交通枢纽建设成效和附近片区规划成果，学习借鉴雄安新区以大手笔大气魄打造高水平现代化城市的创新之举；来到白洋淀燕南堤，察看清淤疏浚、百淀联通工作进展，亲身感受碧水连天、鸟飞鱼跃的湿地生态美景，学习借鉴雄安新区加强系统性生态保护和修复治理的成功经验。。座谈中，黄坤明代表省委、省政府和代表团感谢河北热情周到的接待、贴心细致的安排以及长期以来给予广东工作的大力支持，并简要介绍了广东经济社会发展情况。他说，河北地处京畿要地，在全国发展大局中地位重要。近年来，河北省委、省政府认真学习贯彻习近平总书记视察河北重要讲话精神，深度融入京津冀协同发展，高标准高质量建设雄安新区，推动建设经济强省、美丽河北迈出坚实步伐。设立雄安新区，是习近平总书记亲自谋划、亲自部署、亲自推动的重大国家战略。这次在雄安新区一路走一路看，亲眼目睹一座高水平现代化城市正在拔节生长，呈现出欣欣向荣的发展景象，由衷感佩总书记、党中央的伟大创举和英明决策，更加深切体会到这一千年大计、国家大事对于现代化建设全局的重大而深远的意义。我们对新时代河北改革发展取得的新成就和雄安新区建设取得的重大进展表示祝贺。当前，广东正深入学习贯彻习近平总书记视察广东重要讲话精神，聚焦落实总书记赋予的使命任务，奋力在推进中国式现代化建设中走在前列。我们要认真学习河北和雄安新区创造性落实重大国家战略的政治担当、坚持创新驱动产城融合加快高质量发展的方法路径、高标准高要求开展城市规划建设的经验智慧、坚持生态优先推进绿色转型的韧劲毅力，进一步把广东各项工作谋深做实，更好推进中国式现代化的广东实践。今年是京津冀协同发展战略实施10周年、《粤港澳大湾区发展规划纲要》公开发布5周年，希望两省立足新起点，以促进京津冀协同发展和粤港澳大湾区建设联动为牵引，聚焦产业科技、城市规划建设、改革开放、文化发展和社会民生等领域开展更深层次、更高水平的合作，积极推动技术联合攻关、企业双向布局、干部人才互动交流，加强雄安新区与横琴、前海、南沙、河套等重大平台的互学互鉴，实现优势互补、协同并进，更好服务强国建设、民族复兴大局。。在学习考察中，黄坤明、王伟中、孟凡利等省领导还看望慰问了参与雄安新区建设的广东干部和各类技术人才代表。黄坤明充分肯定大家积极响应习近平总书记、党中央号召，踊跃投身雄安新区开发建设这一宏伟事业，勇担当善作为，充分体现了新时代广东干部人才良好面貌；勉励大家倍加珍惜亲身参与重大国家战略的荣光和机遇，始终牢记肩负的重要使命，以高标准严要求做好本职工作，充分发挥聪明才智大展身手，努力为雄安新区发展和促进粤冀合作作出新的更大贡献。。省领导张虎、郭永航、肖亚非、刘红兵、郑轲；河北省领导张国华、张成中、金晖、董兆伟、赵大春参加有关活动。。广东省党政代表团赴天津学习考察 加强发展战略协同对接 推动务实合作走深走实 携手并进共同迈向现代化 黄坤明陈敏尔讲话 王伟中张工孟凡利陈辐宽参加有关活动,政府领导到其他城市考察学习或访问,0.8334268626856107,False,否
广东省,习近平在山东考察,2024-05-25,习近平在山东考察时强调 以进一步全面深化改革为动力 奋力谱写中国式现代化山东篇章。5月22日至24日，中共中央总书记、国家主席、中央军委主席习近平在山东考察。这是22日下午，习近平在日照港亲切慰问港口科技工作者、运营人员、航运人员。图片来源：新华网。中共中央总书记、国家主席、中央军委主席习近平近日在山东考察时强调，山东要在全国发展大局中定好位、挑大梁，完整准确全面贯彻新发展理念，以进一步全面深化改革为动力，继续在服务和融入新发展格局上走在前、在增强经济社会发展创新力上走在前、在推动黄河流域生态保护和高质量发展上走在前，加快建设绿色低碳高质量发展先行区，打造高水平对外开放新高地，奋力谱写中国式现代化山东篇章。。5月22日至24日，习近平在山东省委书记林武和省长周乃翔陪同下，先后来到日照、济南等地进行调研。。22日下午，习近平首先来到日照港考察。日照港是重要的能源和大宗原材料中转基地，近年来推进智慧化、绿色化建设，建成顺岸开放式全自动化集装箱码头。习近平听取山东省港口发展建设和日照港规划布局等情况介绍，并察看全自动化集装箱码头作业场景。他说，日照港是改革开放后新建的港口，近年来推进科技创新，将传统港口改造升级为现代化港口，不仅货物吞吐量跻身全国前列，还积累了通过传统产业改造升级发展新质生产力的经验，值得肯定。习近平亲切慰问港口科技工作者、运营人员、航运人员，希望大家再接再厉、继续奋斗，推动日照港管理运营更上一层楼。。随后，习近平考察了日照市阳光海岸绿道。近年来，日照市对沿海裸露场地及岸线破损处进行生态修复，建成约28公里的阳光海岸绿道，为市民和游客提供了运动休闲好去处。习近平听取绿道整体建设情况介绍，察看修复治理后的海岸线生态环境，了解当地升级文旅产业、提升人民生活品质的做法和成效，并不时同市民和游客亲切交流。他指出，建设绿道应市民所需，是得民心之事。推进中国式现代化，就是要让人民群众的生活越来越好。生态环境好，老百姓就多了一份实实在在的幸福感。大家要一起动手，共同建设和呵护美好家园。。24日上午，习近平在济南市听取了山东省委和省政府工作汇报，对山东各项工作取得的成绩给予肯定。。习近平指出，山东在推进科技创新与产业创新深度融合、发展新质生产力、完善现代化产业体系上大有可为。要着眼国家战略需求，统筹推进传统产业改造提升、新兴产业培育壮大、未来产业超前布局，全面释放实体经济和数字经济融合效能，因地制宜发展新质生产力。要大力推动发展方式绿色低碳转型，推进绿色环保科技创新和产业发展。要深度对接区域协调发展战略，努力成为北方地区经济重要增长极。要发挥海洋资源丰富的得天独厚优势，经略海洋、向海图强，打造世界级海洋港口群，打造现代海洋经济发展高地。。习近平强调，山东要在进一步全面深化改革、推进高水平对外开放上勇争先。要聚焦推进中国式现代化，在解决制约高质量发展的突出矛盾上下功夫，在完善制度、健全机制、激发活力、增添动力上用实劲。要积极构建国际物流大通道，大力推动自由贸易区联动创新，建设好制度型开放示范区，深度融入高质量共建“一带一路”，精心打造重大国际交流合作高能级平台，努力成为畅通国内国际双循环的重要节点。。习近平强调，各级党委和政府要统筹发展和安全，扎实抓好中小金融机构、地方政府债务、房地产等重点领域风险防控和化解工作，落细落实安全生产责任，及早预防可能出现的洪涝等灾害，全面加强各领域安全风险隐患排查整治，切实防患于未然，守住安全底线。,政府领导到其他城市考察学习或访问,0.0,True,是
广东省,广东省党政代表团赴天津学习考察加强发展战略协同对接推动务实合作走深走实携手并进共同迈向现代化黄坤明陈敏尔讲话王伟中张工孟凡利陈辐宽参加有关活动,2024-06-25,广东省党政代表团赴天津学习考察 加强发展战略协同对接 推动务实合作走深走实 携手并进共同迈向现代化 黄坤明陈敏尔讲话 王伟中张工孟凡利陈辐宽参加有关活动。6月24日，广东省党政代表团前往天津市，围绕贯彻落实党的二十大精神和习近平总书记视察广东重要讲话精神，认真学习借鉴天津改革发展的先进经验，更好推进中国式现代化的广东实践，并就加强重大国家战略协同联动、进一步深化两省市合作、携手走好高质量发展之路进行交流对接。当日下午，两省市进行座谈交流，省委书记黄坤明、天津市委书记陈敏尔出席并讲话。省委副书记、省长王伟中，天津市委副书记、市长张工，省委副书记、深圳市委书记孟凡利，天津市委副书记、市委教育工委书记陈辐宽参加有关活动。。代表团一行首先来到天开高教科创园，详细了解科创园自主创新和孵化转化最新成果，汲取天津立足科教资源优势，积极打造创新策源地、产业集聚地的有益经验；随后来到航天五院天津基地，参观航天器研制流程，考察了解天津加快推动国家战略科技力量布局、聚力发展航空航天产业的新进展；走进民园广场和五大道历史文化街区，实地了解片区整体风貌、文体设施布局和新型消费业态集聚情况，认真学习天津坚持城市内涵式发展，在保护活化历史街区、促进文化惠民、拓展文旅消费等方面的创新做法。。在座谈中，黄坤明代表省委、省政府和代表团对天津给予的热情接待、周到安排以及天津长期以来对广东工作的大力支持表示感谢。他说，天津是我国直辖市、国家中心城市、工业重镇，在民族复兴进程中占据十分重要的地位。近年来，天津认真学习贯彻习近平总书记视察天津重要讲话精神，聚焦经济建设这一中心工作和高质量发展这一首要任务，坚持把京津冀协同发展作为主战略和主抓手，大力推进科技创新、产业焕新、城市更新，进一步盘活存量、培育增量、提升质量，推动各项事业发展跃上新水平、迈出新步伐。我们对天津取得的发展成就表示祝贺，深感天津现代化大都市的未来不可限量。当前，广东正深入学习贯彻习近平总书记视察广东重要讲话精神，扎实推进中国式现代化的广东实践。我们要深入学习天津推动落实重大国家战略的政治自觉、发展新质生产力的卓越成果、深化改革扩大开放的创新举措、加强城市规划建设管理的先进经验，将之融入到各项工作中，更好推动广东高质量发展。奋进新征程，两省市都肩负着落实习近平总书记、党中央赋予的推进重大国家战略实施的光荣使命，深化务实合作面临难得历史机遇。希望与天津一道，发挥各自优势，进一步深化改革联动开放合作，加强京津冀协同发展和粤港澳大湾区建设的战略对接，在推动自贸区建设、扩大制度型开放、营造良好营商环境等方面强化互学互鉴，共同参与高质量共建“一带一路”，更好实现高水平“引进来”、高质量“走出去”。进一步深化科技产业合作，推动两地高校、科研院所、创新型企业联合开展关键核心技术攻关，打通科技创新成果跨区域转移转化通道，共同增强科技实力、产业实力、经济实力。进一步深化文化旅游合作，联手做好文化保护、文化传承、文化创意等文章，加强旅游资源共享、产品共创、品牌共建，共同做大做强文旅大市场。进一步深化社会民生合作，优化异地就医就学等服务，更好造福两地群众。。省领导张虎、郭永航、肖亚非、刘红兵、郑轲；天津市领导刘桂平、连茂君、王旭、王力军、李文海、范少军参加有关活动。,政府领导到其他城市考察学习或访问,0.9293143385540908,True,是
广东省,习近平在重庆考察,2024-04-25,习近平在重庆考察时强调 进一步全面深化改革开放 不断谱写中国式现代化重庆篇章。中共中央总书记、国家主席、中央军委主席习近平近日在重庆考察时强调，重庆要对标新时代新征程党的中心任务和党中央赋予的使命，充分发挥比较优势、后发优势，进一步全面深化改革开放，主动服务和融入新发展格局，着力推动高质量发展，奋力打造新时代西部大开发重要战略支点、内陆开放综合枢纽，在发挥“三个作用”上展现更大作为，不断谱写中国式现代化重庆篇章。。4月22日至24日，习近平在中共中央政治局委员、重庆市委书记袁家军和市长胡衡华陪同下，深入物流园区、城市社区、数字化城市运行和治理中心等进行考察调研。。4月22日至24日，中共中央总书记、国家主席、中央军委主席习近平在重庆考察。这是22日下午，习近平在重庆国际物流枢纽园区西部陆海新通道重庆无水港运营调度中心考察。图片来源：新华网。22日下午，习近平首先考察了重庆国际物流枢纽园区。他来到西部陆海新通道重庆无水港运营调度中心，听取新通道建设情况汇报。习近平强调，物流是实体经济的“筋络”。建设西部陆海新通道，对于推动形成“陆海内外联动、东西双向互济”的对外开放格局具有重要意义。各有关方面要齐心协力，把这一标志性项目建设好、运营好，带动西部和内陆地区高水平对外开放。物流园区要积极运用先进技术，不断创新联运模式，提高科学管理水平，在建设现代物流体系中发挥更大作用。。随后，习近平来到重庆铁路集装箱中心站，听取货物集散、运输路径、运营成本和效益等介绍，同货车司机、列车司机、装卸工人、场站管理人员等亲切交流，询问他们的工作强度、劳动保护、节假日休息和收入情况。习近平说，大家在物流一线，也是在对外开放一线，通过你们的辛勤劳动，很多商品跨越山海、走向世界，你们的工作很有意义。推动西部大开放、促进西部大开发，物流很重要，大家要继续努力，不断创造新的业绩，作出新的贡献。。习近平还听取了重庆推动成渝地区双城经济圈建设情况汇报，参观了重庆科技创新和产业发展成果展示。习近平表示，建设成渝地区双城经济圈是党中央作出的重大战略决策。重庆、四川两地要紧密合作，不断提升发展能级，共同唱好新时代西部“双城记”。支柱产业是发展新质生产力的主阵地。重庆的制造业有自身的结构特点、有相应的优势，希望重庆牢牢抓住科技创新这个“牛鼻子”，扬优势、补短板，抓当前、谋未来，坚定不移、久久为功，奋力推动制造业高质量发展。。九龙坡区谢家湾街道民主村社区是一个老小区，2022年初启动更新改造项目并纳入全国有关试点。习近平来到这里，察看小区改造和便民服务情况，听取提升基层治理效能、为基层减负情况介绍。他还走进社区食堂，同正在就餐的群众亲切交流，鼓励社区食堂实现可持续发展。习近平指出，老旧小区改造是城市更新的一个重点，也是一项民生工程，既要保留历史记忆和特色风貌，又要解决居民关切的实际问题。要总结推广这方面的成功经验，更好惠及广大社区居民。城市治理的很多工作要靠基层党组织这个战斗堡垒和社区这个平台去落实，要厘清城市社区职责事项，继续推动资源下沉、完善服务设施，强化网格化管理、信息化支撑，提高社区精细化治理、精准化服务水平。。离开时，社区居民纷纷围拢过来欢送总书记。习近平对大家说，中国式现代化，民生为大。党和政府的一切工作，都是为了老百姓过上更加幸福的生活。希望各级党委和政府都能为解决民生问题投入更多的财力物力，每年办一些民生实事，不断增强人民群众的获得感幸福感安全感。。24日上午，习近平听取了重庆市委和市政府工作汇报，对重庆各项工作取得的成绩给予肯定。,政府领导到其他城市考察学习或访问,0.0,True,是
广东省,习近平在山东日照市考察调研,2024-05-23,22日下午，习近平总书记在山东省日照市考察调研。他先后来到日照港和阳光海岸绿道，了解当地推进港口智慧化绿色化建设、扩大对外开放和加强海岸线生态保护修复、提高人民生活品质等情况。,政府领导到其他城市考察学习或访问,0.0,False,否
