province,topic,date,content,label,score,is_match,是否为“学习考察”新闻
黑龙江省,我省党政代表团赴吉林学习考察,2023-11-25,许勤代表省委、省政府对吉林长期以来给予黑龙江的支持帮助表示感谢。他说，近年来，吉林深入贯彻落实习近平总书记视察吉林重要讲话重要指示精神，坚决扛起“新担当、新突破、新作为”重大政治责任，深入实施“一主六双”高质量发展战略，着力培育“四大集群”、发展“六新产业”、建设“四新设施”，成就令人鼓舞，经验值得学习。吉黑一家人，两省一家亲，新征程上，我们共同贯彻习近平总书记在新时代推动东北全面振兴座谈会上的重要讲话和党中央决策部署，坚持战略定位，完善协同机制，深化区域合作，完整准确全面贯彻新发展理念，积极服务和融入构建新发展格局，坚决维护国家“五大安全”，努力走出一条高质量发展、可持续振兴新路子。加强产业融合对接，共同推动产业链供应链配套衔接，构建具有东北特色优势的现代化产业体系；促进科技资源共享，共同加强关键核心技术攻关、创新成果双向转化，更好服务国家高水平科技自立自强；深化农业领域协作，共同抓好黑土地保护、种业创新、产能提升，当好国家粮食稳产保供“压舱石”；合力扩大对外开放，共同推进口岸通道建设，共享共用开放平台，加快构筑我国向北开放新高地；增强文化旅游互动，共同开发推介精品旅游线路，推动冰雪经济全产业链发展，让绿水青山、冰天雪地更好转化为金山银山。黑龙江与吉林共担使命、携手奋进，把习近平总书记擘画的宏伟蓝图变为美好现实，为强国建设、民族复兴贡献力量。。景俊海代表吉林省委、省政府，对黑龙江省党政代表团到访表示热烈欢迎，对黑龙江省长期以来给予吉林省的支持帮助表示衷心感谢。他说，黑龙江与吉林是山水相连、人缘相亲的好邻居、好兄弟。近年来，黑龙江坚持以习近平新时代中国特色社会主义思想为指引，加快建设“六个龙江”、推进“八个振兴”，推动新时代龙江全面振兴取得扎实成效。这些成绩让我们由衷钦佩，好经验好做法值得我们认真学习借鉴。习近平总书记新时代以来十次视察东北，三次亲自主持召开座谈会，特别是今年接连主持召开新时代推动东北全面振兴座谈会和中共中央政治局会议，充分体现了对新时代推动东北全面振兴的战略考量和深邃思考、对东北干部群众的亲切关怀和深情厚意，广大党员干部群众无限感恩总书记、无比感谢党中央。推动东北全面振兴，吉黑两省承载着共同的职责使命，面临着共同的机遇优势，肩负着共同的目标任务。我们愿与黑龙江一道深入贯彻习近平总书记重要讲话精神，牢记嘱托、踔厉奋发，携手并肩、同心同向，把对习近平总书记的无限感恩转化为推动振兴发展的实际行动，坚决扛稳在维护国家“五大安全”中的重大使命，扎实完成好“五项重点任务”，聚焦服务和融入新发展格局，建立完善全方位、多层次、常态化合作交流机制，全面加强产业合作，共同实施好国企振兴专项行动，加快哈长城市群建设，联合开发冰雪和避暑休闲生态旅游资源，携手走出高质量发展、可持续振兴新路，齐心协力推动新时代东北全面振兴取得新突破。。在吉林期间，我省党政代表团考察了中国科学院东北地理与农业生态研究所、中国科学院长春光学精密机械与物理研究所、中国第一汽车集团有限公司、长春生物制品研究所有限责任公司。。省领导张安顺、徐建国、杨博、于洪涛、贾玉梅、余建、王合生、张亚中；吉林省领导张恩惠、李伟、王秋实、高广滨、李国强、梁仁哲、吴靖平参加有关活动。,政府领导到其他城市考察学习或访问,0.0,True,是
黑龙江省,我省党政代表团赴北京学习考察,2024-06-12,尹力感谢黑龙江省长期以来对北京工作的支持和帮助。他说，推动东北振兴，是党中央作出的重大战略决策。党的十八大以来，习近平总书记多次亲临黑龙江考察，赋予黑龙江“三基地一屏障一高地”战略定位和维护国家“五大安全”政治责任。近年来，黑龙江全面贯彻习近平总书记重要讲话重要指示批示精神，聚焦全面振兴、全方位振兴，各项事业取得了新的成绩。北京市将深入贯彻党中央关于东北振兴的决策部署，加强与黑龙江各领域的交流合作，促进京津冀和东北振兴联动发展。希望双方共同培育和发展新质生产力，在航空航天、数字经济、生物医药等领域加强合作，推动高校、科研院所、创新企业联合开展技术攻关，以科技创新推动产业创新，构建现代化产业体系。共同推进现代农业合作，在农业科技、现代种业、绿色食品生产基地建设等方面加强交流，拓宽线上线下销售渠道，让更多黑龙江优质农副产品进入北京和全国市场。共同促进文化体育旅游发展，加强旅游线路开发和市场推广合作，提供更多优质旅游产品。共同打造对外开放平台，加强功能、政策对接，策划举办大型展会和经贸活动，为两地企业搭建产业、金融、科技、文旅等全方位交流合作平台。。许勤代表省委省政府对北京给予黑龙江的大力支持表示感谢。他说，习近平总书记亲自擘画、亲自推动京津冀协同发展和新时代东北全面振兴，为两省市发展指明前进方向，注入强大动力。北京始终坚持以习近平新时代中国特色社会主义思想为指导，以疏解北京非首都功能为“牛鼻子”推动京津冀协同发展，新时代首都发展日新月异，成就斐然、令人钦佩。黑龙江与北京渊源深厚，黑土地见证双方交流合作成果。新征程上，黑龙江与北京一道，牢记总书记嘱托、共担国家使命，加强区域发展战略对接，推动北京“四个中心”与龙江“三基地一屏障一高地”融合互动，共谱中国式现代化两地新篇章。学习首都经验、深化优势互补，加强科技创新协同，推动数字经济、生物经济、航空航天、高端装备、人工智能等产业配套，共同培育新质生产力，深化现代农业、食品工业和特色文旅产业合作，合力打造向北开放通道平台，促进开放发展、高质量发展。弘扬北京冬奥精神，高水平办好亚冬会，高质量发展冰雪经济，打造绿水青山就是金山银山、冰天雪地也是金山银山忠诚实践地。。在京期间，我省党政代表团考察了新首钢高端产业综合服务区、中关村国家自主创新示范区展示中心等。。北京市领导游钧、夏林茂、赵磊；省领导杨博、陈少波、王永康、张起翔、张亚中、邵国强，哈尔滨市市长王合生参加有关活动。,其他,0.5133628755564291,True,是
黑龙江省,我省党政代表团赴河北学习考察,2024-06-14,为全面贯彻落实习近平总书记重要讲话重要指示精神，深化区域交流合作，加强新时代东北全面振兴与京津冀协同发展战略对接，6月12日至13日，我省党政代表团赴河北学习考察。13日下午，两省召开工作交流座谈会，省委书记、省人大常委会主任许勤讲话，河北省委书记、省人大常委会主任倪岳峰主持会议并讲话。省委副书记、省长梁惠玲，河北省委副书记、省长王正谱分别介绍两省经济社会发展情况。省政协主席蓝绍敏，河北省政协主席张国华出席。。河北是革命圣地，习近平总书记曾在这里工作，燕赵大地留下了人民领袖的思想印迹、精神印迹和实践印迹。我省党政代表团到雄安新区考察了规划展示中心、城际站项目，实地感受“千年大计、未来之城”的恢弘气势，切身感悟党的创新理论真理力量和实践伟力，更加深刻认识“两个确立”的决定性意义。代表团还考察了石药集团巨石生物制药公司、中电科产业基础研究院、石家庄正太广场城市更新项目、正定县塔元庄村等，学习河北创新发展、现代产业体系建设、乡村全面振兴等经验做法。。座谈会上，许勤代表省委省政府感谢河北给予黑龙江的大力支持。他说，近年来，河北坚持以习近平新时代中国特色社会主义思想为指导，坚决扛起推动京津冀协同发展和高标准高质量建设雄安新区重大使命，推动疏解北京非首都功能取得重大阶段性成果，经济强省、美丽河北建设迈出新步伐，发展成就令人钦佩。习近平总书记对河北和黑龙江深切关怀、寄予厚望，两省牢记嘱托、感恩奋进，协同落实国家区域发展战略，努力把总书记擘画的宏伟蓝图变成美好现实。携手发展新质生产力，密切高校院所科研合作，加强科技攻关和成果转化联动，深化数字经济、生物医药、人工智能等产业协作，推进创新链产业链供应链对接，协同构建现代化产业体系。共同维护国家粮食安全，高质量推进高标准农田建设，加强盐碱地综合利用、种业创新、食品工业等领域合作，促进科技农业、绿色农业、质量农业、品牌农业发展，为国家千亿斤粮食产能提升作出更大贡献。互学互鉴改革开放经验，加强营商环境、制度型开放等工作交流，联手打造沿海沿边开放通道，推动中国•廊坊国际经贸洽谈会与中俄博览会、哈洽会等开放平台共用共享，更好服务共建“一带一路”。合力筑牢北方生态安全屏障，弘扬塞罕坝精神，建好“三北”防护林，推进经济绿色低碳转型，用好北京冬奥会经验，办好第九届亚冬会，共同拓展绿水青山、冰天雪地转化路径。共担新时代新的文化使命，加强文化遗产保护传承合作，促进燕赵文化与边疆文化、民族文化交流互鉴，大力弘扬西柏坡精神和东北抗联精神、大庆精神（铁人精神）、北大荒精神，为两地现代化建设凝聚强大精神力量。。省领导杨博、陈少波、于洪涛、王永康、张起翔、张亚中、邵国强；河北省领导张超超、柯俊、张成中、周仲明、胡启生参加有关活动。,政府领导到其他城市考察学习或访问,0.7397141128781327,True,是
黑龙江省,我省党政代表团赴天津学习考察,2024-06-13,6月12日，我省党政代表团赴天津学习考察，全面贯彻习近平总书记重要讲话重要指示精神，认真落实党中央决策部署，学习天津经验，深化交流合作，加强京津冀协同发展和新时代东北全面振兴战略对接。两省市召开工作交流座谈会，天津市委书记陈敏尔主持并讲话，省委书记、省人大常委会主任许勤讲话。天津市委副书记、市长张工，省委副书记、省长梁惠玲分别介绍两地经济社会发展情况。天津市人大常委会主任喻云林、市政协主席王常松，省政协主席蓝绍敏出席。。陈敏尔感谢黑龙江省长期以来对天津发展的大力支持。他说，此次黑龙江省党政代表团来津考察、共商合作，是贯彻以习近平同志为核心的党中央关于促进区域协调发展决策部署、对接落实京津冀协同发展战略和东北振兴战略的实际行动。通过深入交流，我们进一步加深了对习近平总书记关于推动东北全面振兴一系列重要讲话精神的理解，加深了对加强两省市交流合作重点和着力点的把握。当前，天津深入学习贯彻习近平总书记视察天津重要讲话精神，以推进京津冀协同发展为战略牵引，大力推动“四个善作善成”重要要求见行见效。天津和黑龙江具有独特的区位优势、发展优势，互补性强，合作空间大。我们要共同落实好习近平总书记关于加强国家重大战略对接的重要指示精神，深化两省市交流合作，共同促进京津冀协同发展、东北全面振兴。要在发展新质生产力上加强交流合作，用好两地科技、教育资源，强化协同创新和产业协作，促进科技成果双向转化，推动产业创新、提质增效。在推进高水平对外开放上加强交流合作，提升天津港服务辐射功能，共同发展多式联运，推动港口带物流、物流带经贸、经贸带产业，深度融入共建“一带一路”。在发展现代农业上加强交流合作，拓展种业创新协作，加强粮食产销储运对接，让更多黑龙江优质农产品进入天津市场。在深化文旅融合上加强交流合作，学习借鉴黑龙江经验做法，提升旅游服务品质，携手打造文旅品牌、开发旅游线路，共促旅游业高质量发展。。许勤代表省委省政府对天津给予黑龙江的大力支持表示感谢。他说，习近平总书记亲自擘画推动京津冀协同发展和新时代东北全面振兴，引领两省市高质量发展取得新成就，让我们更加深刻领会“两个确立”决定性意义。天津坚持以习近平新时代中国特色社会主义思想为指导，奋力推进京津冀协同发展，现代化大都市建设取得显著成效。黑龙江和天津地处祖国开放前沿，肩负国家重大使命。新征程上，两省市共同贯彻落实习近平总书记重要讲话重要指示精神，推动京津冀协同发展和新时代东北全面振兴深度对接，共创两地现代化建设新局面。叠加大学大院大所创新优势，共建共享科创平台，加强关键技术联合攻关和成果转化，共同培育新质生产力。加强先进制造研发基地与重型装备生产制造基地协同，推进天津“1+3+4”与龙江“4567”现代化产业体系对接，加强高端制造、人工智能、航空航天等产业协作，打造更多大国重器。深化沿海开放与沿边开放互动，创新海陆空铁多式联运方式，携手建好自贸区等开放平台，更好服务国家开放大局。推动都市农业与现代化大农业强强合作，联手做好“粮头食尾”“农头工尾”文章，让“津农精品”“黑土优品”走向全国全球市场。促进古韵津门与美丽龙江文旅相融，学习天津传承保护优秀传统文化经验，创新文旅合作模式，共同开发客源市场，让中外游客感受天津文化底蕴、体验龙江绿水青山。。在津期间，我省党政代表团考察了天开高教科创园、天士力大健康产业投资集团、天津古文化街。。天津市领导刘桂平、周德睿、王力军、张玲；省领导杨博、陈少波、于洪涛、王永康、张起翔、张亚中、邵国强参加有关活动。,政府领导到其他城市考察学习或访问,0.6161179846969895,True,是
黑龙江省,我省党政代表团赴辽宁学习考察,2023-11-26,11月25日，我省党政代表团赴辽宁学习考察，两省在沈阳举行工作交流座谈会，共同学习贯彻习近平总书记在新时代推动东北全面振兴座谈会上的重要讲话精神，加强区域协同、深化务实合作，奋力谱写新时代东北地区高质量发展、可持续振兴新篇章。省委书记、省人大常委会主任许勤出席座谈会并讲话，辽宁省委书记、省人大常委会主任郝鹏主持座谈会并讲话。省委副书记、省长梁惠玲，辽宁省委副书记、省长李乐成分别介绍两省经济社会发展情况。辽宁省政协主席周波出席。。许勤代表省委、省政府对辽宁长期以来给予黑龙江振兴发展的关心支持表示感谢。他说，辽宁省委、省政府全面贯彻落实习近平总书记重要讲话重要指示精神，深入实施全面振兴新突破三年行动，着力打造4个万亿级产业基地、22个重点产业集群，以超常规举措打好新时代东北振兴、辽宁振兴的“辽沈战役”，推动振兴发展不断取得新突破，我们对辽宁取得的突出成就由衷祝贺。辽黑两省历史文化同源、发展历程相近，同为国家重要老工业基地，都拥有一批“国之重器”、都曾创造出诸多共和国第一。新时代新征程上，两省共同担负着维护国家“五大安全”、推动东北全面振兴的重大政治任务，我们与辽宁携手同行，全面贯彻落实习近平总书记在新时代推动东北全面振兴座谈会上的重要讲话精神，抢抓机遇、感恩奋进，把习近平总书记擘画的宏伟蓝图变为美好现实。深化战略对接，携手服务国家大局，推动黑龙江建好建强“三基地、一屏障、一高地”与辽宁打造新时代“六地”目标相衔接，全面提升维护国家“五大安全”能力，形成对国家重大战略的坚强支撑。深化优势互补，共同推进高质量发展，加强产业、科技、开放、旅游等领域务实合作，推进沈大与哈大齐自主创新示范区强强联合，沿边开放与沿海开放联通互动，筹办亚冬会与冬运会互鉴互促，释放合作共赢的叠加效应，为可持续振兴增添新动能。深化区域协同，完善交流合作机制，打造常态化、多层次交流合作平台，加强政府、高校、院所、企业协同协作，密切人文领域交流交往，续写江海情谊，唱响“东北一家人、东北一家亲”，以高质量区域协作推动东北全面振兴不断取得新突破。。在辽宁期间，我省党政代表团考察了沈阳拓荆科技股份有限公司、沈阳国际软件园、新松机器人自动化股份有限公司、航空工业沈阳飞机工业（集团）有限公司。。省领导张安顺、徐建国、杨博、于洪涛、贾玉梅、余建、王合生、张亚中；辽宁省及沈阳市、大连市领导王新伟、王健、胡立杰、蒋天宝、姜有为、陈绿平、王利波、陈绍旺参加有关活动。,政府领导到其他城市考察学习或访问,0.8158340926642423,True,是
黑龙江省,黑龙江省党政代表团赴新疆学习考察,2023-10-12,10月10日至12日，省委书记、省人大常委会主任许勤，省委副书记、省长梁惠玲率我省党政代表团赴新疆学习考察，深入学习贯彻习近平总书记关于新疆工作重要讲话重要指示精神，认真落实党中央对口援疆决策部署，坚决扛起重大政治责任，更好助力美丽新疆建设。新疆维吾尔自治区党委书记、新疆生产建设兵团党委第一书记、第一政委马兴瑞，自治区党委副书记、自治区主席艾尔肯·吐尼亚孜，自治区人大常委会主任祖木热提·吾布力，自治区党委副书记、兵团政委李邑飞，自治区党委副书记、乌鲁木齐市委书记何忠友等参加有关活动。。10月10日下午，黑龙江省·新疆维吾尔自治区及新疆生产建设兵团对口支援工作座谈会在乌鲁木齐召开。马兴瑞说，在新疆深入学习宣传贯彻习近平总书记听取自治区和兵团工作汇报时重要讲话精神的重要时刻，黑龙江省党政代表团来疆考察调研，体现了黑龙江省对援疆工作的高度重视和对新疆人民的深情厚谊，我代表自治区党委、政府、兵团和全区各族干部群众，诚挚欢迎代表团一行。长期以来，黑龙江省委、省政府把援疆工作作为重要政治责任，在人才、资金、项目上给予阿勒泰地区和兵团第十师大力支持，为新疆改革发展稳定作出了积极贡献，新疆各族干部群众感恩于心、铭记于怀。当前，黑龙江正全面落实总书记、党中央决策部署，把握东北全面振兴机遇，着力建设“三个基地、一个屏障、一个高地”，黑土地上展现出振兴发展的喜人气象。新疆牢记嘱托、感恩奋进，完整准确全面贯彻新时代党的治疆方略，锚定在国家全局中的战略定位，全力推进中国式现代化的新疆实践。希望两省区以此次考察对接为契机，用好援疆平台纽带，健全合作长效机制，围绕服务和融入新发展格局、推动高质量发展，发挥黑龙江装备制造、科技创新、高等教育、现代农牧业等优势，共同提升产业发展能级。深化“一带一路”建设开放合作，携手开拓国际市场，不断提高开放型经济水平。深入推进文化润疆，促进各族干部群众全方位交往交流交融，铸牢中华民族共同体意识。新疆将切实扛起主体责任，积极推动援疆重点工作和双方合作事项落地落实，谱写两省区交流合作新篇章。。许勤代表省委、省政府对新疆维吾尔自治区和新疆生产建设兵团长期以来给予黑龙江的大力支持、给予我省援疆干部人才的关心关爱表示感谢。他说，新疆始终牢记习近平总书记殷切嘱托，坚定不移贯彻党中央决策部署，天山南北安定祥和，美丽新疆日新月异，充分证明了新时代党的治疆方略的英明正确，充分体现了中国特色社会主义制度的显著优势，充分彰显了“两个确立”的决定性意义。当前，我省正全面学习贯彻落实习近平总书记视察黑龙江期间重要讲话重要指示，牢牢把握在国家发展大局中的战略定位，扎实推进高质量发展、可持续振兴。新征程上，我们要认真学习借鉴新疆发展经验，共同贯彻落实习近平总书记重要讲话重要指示，坚决扛起对口援疆重大政治责任，紧扣新疆所需、竭尽龙江所能，深入实施产业援疆、教育援疆、人才援疆和民生援疆，不断开创对口援疆工作新局面；携手推动西部大开发与东北全面振兴战略对接，向西开放桥头堡与向北开放新高地联通互动，“八大产业集群”与“4567”现代产业体系有机衔接，加强现代农业、食品工业、文化旅游等领域务实合作，更好服务和融入构建新发展格局，加快推进高质量发展和现代化建设；以铸牢中华民族共同体意识为主线，深化人文领域协作互动，促进各民族交往交流交融，共同为祖国边疆繁荣发展、长治久安作出更大贡献。。省农业农村厅、省农科院、北大荒农垦集团与阿勒泰地区行署签署《农业现代化发展战略合作框架协议》,政府领导到其他城市考察学习或访问,0.0,True,是
黑龙江省,七台河市委书记王文力带队到佳木斯市学习考察,2023-10-21,10月20日，七台河市委书记、市人大常委会主任王文力带队到佳木斯市，围绕学习垦地合作的先进做法、深化两地合作等方面进行考察交流。佳木斯市委书记丛丽参加考察活动。。王文力详细了解了佳木斯市垦地合作、高端农机制造、农地运营、绿色农药生产基地等情况。他表示，七台河市与佳木斯市地缘相近、人文相亲、交往密切，积淀了深厚的友谊，特别是两市的资源禀赋、产业基础、发展定位，关联度高、互补性强，深化合作空间广阔、潜力巨大。希望以此次考察学习为契机，与佳木斯市加强交流对接，携手开展多领域合作，更好造福两地人民群众，共同为现代化龙江建设作出应有贡献。。考察中，王文力嘱咐随行人员，要学习借鉴佳木斯市先进经验，组建专门机构，进一步推动七台河市垦地双方在农业生产社会化服务领域开展更深层次合作，全方位提高“耕、种、管、收、储、运、加、销”等方面服务质量，高效衔接“农人、农地、农金、农资、农机、农信、农品、农服”等因素，不断提升区域农业现代化水平。要充分发挥农垦系统先进农业技术、大型农用机械、智慧农业优势，开展全方位管理合作和全过程服务合作，推动北兴农场的信息化、机械化、智能化、标准化种植方式向地方复制平移，不断提升七台河市农业规模化、机械化、集约化水平，促进农业增效农民增收。要提高农村土地规模化经营水平，推动七台河市现代农业更好发展。要坚持农业产业化、市场化、品牌化，探索产业链合作渠道，做精做优特色农产品产业，延长产业链、提升价值链，不断提高产品知名度和竞争力。。在佳木斯市郊区敖其镇兴隆村、沿江镇泡子沿村等地，王文力实地察看了土地托管种植区、垦地合作示范田建设情况。他说，佳木斯市通过与北大荒集团合作，共建大三江垦地融合发展示范区，将成熟的种植技术和管理模式植入地方农村，推动农村变农场、农民变农工，这些好经验、好做法值得学习借鉴，为七台河加快推进农业现代化建设提供了有益参考和宝贵启示。各县区、相关部门要认真学习借鉴佳木斯市垦地合作探索出的新路径、新模式和新机制，找差距、补短板，切实把学习考察成果转化为加快推动七台河市垦地合作融合发展的生动实践。。考察期间，王文力与丛丽进行了交流，他表示，近年来，佳木斯市扭住推动高质量发展这个首要任务，扬长补短，把资源优势、生态优势、科研优势、产业优势、区位优势转化为发展的新动能新优势。七台河市将认真学习佳木斯市的先进理念和经验，全面深化两地交流合作，推动高水平协同发展，共同开创垦地合作高质量发展和现代化建设新局面。丛丽表示，希望双方在现有基础上，进一步增进友谊、取长补短、互勉共进，推进经济、社会、文化、民生各项事业共建共享共融，齐心协力共促我省东部城市组团发展，携手为龙江高质量发展、可持续振兴贡献力量。,政府领导到其他城市考察学习或访问,0.6216846950886971,True,是
黑龙江省,黑龙江省党政学习考察组抵浙考察陆昊李强介绍省情,2013-06-01,在浙江省、杭州市领导同志陪同下，我省党政学习考察组实地考察了贝因美集团公司、阿里巴巴集团公司和中南卡通股份有限公司。王宪魁、陆昊等认真听取企业科技研发、运营管理和市场拓展等情况介绍，并就有关项目投资合作与大家现场交流。当了解到贝因美集团公司有40%的婴儿配方粉来自我省绥化安达市时，他们希望企业抓住龙江实施“两牛一猪”产业规划的机遇，进一步扩大投资规模，延伸产业链条，创造更大经济效益和社会效益。阿里巴巴集团公司全部跨境电子贸易中，俄罗斯占30%的市场份额，王宪魁、陆昊建议企业利用我省对俄经贸优势，到龙江开展电子商务、现代物流和云计算利用合作，带动名优产品出口贸易做大做强。中南卡通股份有限公司作为首批国家重点动漫企业，制作的动画片已进入世界近70个国家和地区，王宪魁、陆昊对企业高起点、大投入、国际化的发展模式非常认同，热情欢迎企业与龙江动漫互动交流，打造动漫全产业链，实现合作共赢。。5月29日17时，夏宝龙主持召开两省经济社会发展情况交流会，两地党政领导进行了亲切友好、气氛热烈的座谈。。夏宝龙代表浙江省委、省政府向黑龙江长期以来对浙江经济社会发展给予的关心支持表示感谢。他说，黑龙江是我国重要的老工业基地，是粮食主产省和全国最大的商品粮生产、供应基地，自然资源非常丰富，两省经济具有很强的互补性，双方一直保持着重要的合作伙伴关系。当前，两省都处在发展的关键时期，我们要认真学习借鉴黑龙江在经济社会发展上的好做法好经验，尤其是要以加强绿色食品产业合作来提升浙江农业现代化水平。要充分发挥两省经济互补性较强、浙商群体商贸往来较多、合作潜力较大等优势，在能源、产业、粮食、边贸、旅游等领域开展全方位、多层次、宽领域交流合作，携手创造浙黑两省更加美好的明天，共同为实现“中国梦”作贡献。。王宪魁代表黑龙江省委、省政府对浙江长期以来对黑龙江的支持和帮助表示感谢。他说，浙江是我国民营经济最发达、经济实力最强、市场发育程度最高的省份之一，改革开放以来浙江一直走在全国经济发展的最前列。特别是新一届浙江省委、省政府着眼发展实际，对经济社会发展作出“一三五分步走，实现四个翻一番”的决策部署，为浙江发展谋划了更为广阔的空间。我们这次来，主要是学习考察、求取真经，加强合作、共同发展，加深了解、增进友谊，学真招、学真经、学真干，更好地推动龙江加快发展、创新发展、科学发展。。王宪魁指出，浙江、龙江经贸合作源远流长，未来合作前景广阔。龙江有生态资源、农业发展、工业基础和沿边开放等优势，希望双方不断扩大友好交往，完善互动机制，拓宽交流渠道，不断把两省经贸合作引向深入。他建议，两省加强绿色食品产业合作，既保证浙江人民绿色安全的“米袋子”、“菜篮子”、“油瓶子”，又鼓起龙江农民的“钱袋子”。加强矿产资源开发合作，发展矿产资源精深加工业，建设一批精深加工项目，通过对核心关键技术的掌握，实现全产业链发展。加强对俄经济贸易合作，倡导产品原材料市场和销售市场两头在外的“外内外”加工贸易方式，实行中资企业与外资企业合作的“内外内”模式，立足“出口抓加工，进口抓落地”，大力开展木材、食品、矿产等精深加工，打造跨境产业链。加强现代服务业合作，搞好金融、物流、旅游、文化创意、物联网等产业开发。。李强介绍了改革开放以来浙江经济社会发展总体情况和今后一个时期发展思路，希望与龙江在农业、科教、环保和金融等领域进行交流合作。陆昊重点介绍了我省经济发展的要素条件、市场条件和产业发展氛围，以及今后产业发展路径，希望在绿色农产品加工、矿产资源开发、对俄经贸和现代服务业等方面与浙江开展互惠合作。,政府领导到其他城市考察学习或访问,0.7864296744151097,False,否
黑龙江省,省党政代表团长三角地区学习考察交流总结座谈会在合肥召开,2023-07-23,7月22日下午，省党政代表团长三角地区学习考察交流总结座谈会在合肥召开，省委书记、省人大常委会主任许勤主持会议并讲话。他强调，要深入学习贯彻习近平总书记重要讲话重要指示精神，认真落实党的二十大战略部署，系统学习转化先进经验，完整准确全面贯彻新发展理念，融入和服务构建新发展格局，进一步解放思想、开拓创新、真抓实干，扎实推进中国式现代化龙江实践，为强国建设、民族复兴作出更大贡献。。省委副书记、省长梁惠玲讲话，省政协主席蓝绍敏，省领导余建、王岚、徐向国、张亚中出席会议。。许勤指出，长三角一体化发展是习近平总书记亲自谋划、亲自部署、亲自推动的重大国家战略，组织党政代表团赴长三角地区学习考察，是推动主题教育走深走实的具体实践，是贯彻落实党的二十大精神的实际行动，是学习借鉴先进经验加快振兴发展的务实举措。通过学习考察，我们深刻感悟了习近平新时代中国特色社会主义思想的真理力量和实践伟力，进一步增强了坚定拥护“两个确立”、坚决做到“两个维护”的政治自觉；我们深切体会了三省一市胸怀“国之大者”、坚决落实国家战略的格局站位，进一步增强了推进全面振兴全方位振兴的使命担当；我们亲眼目睹了三省一市创新发展、开放发展、跨越发展的生动实践，进一步增强了推动高质量发展的信心决心；我们直观感受了三省一市干部群众和企业家干在实处、走在前列的进取精神，进一步增强了时不我待、主动作为的责任感紧迫感；我们密切了与三省一市的沟通交流，深化了全方位务实合作。。许勤强调，要透过现象看本质、透过成绩看举措、透过结果看路径，全面系统转化学习考察成果，以更高站位、更宽视野、更实作风开创龙江振兴发展和现代化强省建设新局面。要坚决筑牢政治忠诚，持续深入学习习近平总书记重要讲话重要指示精神，从党的创新理论中汲取智慧力量，运用贯穿其中的立场观点方法指导推动振兴发展实践，以更加昂扬姿态紧跟核心、矢志奋斗。要倾力服务国家大局，立足国家所需、龙江所能，坚决扛起维护国家“五大安全”政治责任，主动对接京津冀、长三角、粤港澳大湾区建设等国家重大战略，在推进新时代东北振兴中体现龙江担当、展现龙江作为。要全力推动创新发展，坚持把振兴发展的基点放在创新上，持续推进体制机制创新，深化跨区域科技创新协同，加快构建现代化产业体系，不断开辟发展新赛道、塑造发展新动能。要着力深化开放合作，在国内国际双循环中找准位置、发挥作用，深度融入共建“一带一路”，深化对外经贸合作，做强跨境产业集群，推进开放平台创新发展，着力打造我国向北开放新高地。要践行宗旨为民造福，学习运用“千万工程”和“枫桥经验”“浦江经验”，科学统筹生态建设、乡村振兴、共同富裕、基层治理和城乡一体化发展，提升治理效能，办好民生实事，让发展成果更多惠及龙江人民。要崇尚实干狠抓落实，以深化能力作风建设和“工作落实年”为牵动，推动思想大解放、能力大提升、作风大转变、工作大落实，切实把省委确定的思路、目标、任务、举措转化为实绩实效，确保习近平总书记重要讲话重要指示精神和党的二十大战略部署在龙江落地生根、造福人民。。各市（地）主要负责同志，省直有关部门负责同志参加会议。（记者 李国玉 薛立伟 摄影 邵国良）,政府领导到其他城市考察学习或访问,0.5746967249426203,True,是
黑龙江省,黑龙江省网上政务服务能力建设学习考察团在广东省学习考察,2020-09-18,9月17日，由省政府副秘书长邢爱国带队的黑龙江省网上政务能力建设学习考察团在广东学习考察。考察团一行与广东省有关部门就提升我省网上政务服务能力建设有关工作开展了座谈交流。广东省政府有关领导出席会议并讲话，广东省发改委、政数局分别介绍了广东省优化营商环境、“数字政府”改革建设工作情况。我省营商环境局、公安厅、农业农村厅、人社厅、医保局及哈尔滨、齐齐哈尔市政府分别发言，与会人员就网上政务服务能力建设有关问题进行了深入交流。。近年来，黑龙江省委省政府坚定不移优化营商环境，颁布实施优化营商环境条例，组建省市县三级营商环境建设监督局，全力推进“办事不求人”政务服务品牌，“投资必过山海关”的市场预期和社会认同逐步显现。但与广东相比，网上政务服务能力建设特别是政务服务数据共享等方面差距巨大。广东省连续两年在省级政府网上政务服务能力评估中位列第一，为黑龙江全面学习借鉴和复制推广提供了生动教材。本次学习考察活动是按照王文涛省长指示精神安排的，主要目的是针对我省网上政务服务能力建设的短板弱项，对标广东查找差距，列出问题清单，明确时限和要求，按期整改到位。。学习考察团一行还在数字广东公司详细了解了“政务云平台”“粤省事”APP、“广东省政务服务网”等信息系统建设运行情况，现场观看了电子政务服务运维演示，听取了广东省在政务服务数据工作中的创新做法介绍。在广州市政务服务中心，考察团实地学习政务服务“一门一窗一次”改革经验，详细了解推进同城通办、企业代办服务等情况。,政府领导到其他城市考察学习或访问,0.9269427846922133,True,是
