province,topic,date,content,label,score,is_match
江西省,充分发挥特色优势加快补齐短板弱项全力以赴打造产业转型升级标杆城市,2024-07-05,江西省人民政府 今日关注 充分发挥特色优势 加快补齐短板弱项 全力以赴打造产业转型升级标杆城市。7月4日，省委书记尹弘深入萍乡调研，并召开座谈会听取萍乡市工作汇报。他强调，要深入贯彻习近平总书记考察江西重要讲话精神，聚焦“走在前、勇争先、善作为”的目标要求，充分发挥特色优势，加快补齐短板弱项，全力以赴打造产业转型升级标杆城市，坚定不移推动经济社会高质量发展。。萍乡经开区鑫通机械制造和阿尔法高科药业分别在凿岩装备、药用辅料领域处于行业领先。在鑫通机械，尹弘察看核心部件产品和各类采矿台车，鼓励企业加快数字技术与装备制造融合发展，不断提高装备制造水平。在阿尔法高科药业，尹弘希望企业加强自主创新，推动更多科研成果转化为产业成品，在市场竞争中赢得更大优势。。来到湘东区江华环保设备填料公司，尹弘鼓励企业紧盯节能环保产业赛道，发挥填料开发技术和成套设备制造优势，积极助力传统产业转型升级。安源区引进喜临门家具公司和上下游企业，打造了家具产业园。尹弘察看各式床垫家具和自动化生产车间，要求进一步延链补链强链，加快推动现代家具产业集聚集群发展。。对照中央生态环保督察指出问题，萍乡市大力推进主城区排水系统系统化治理。尹弘听取工程情况介绍，察看污水处理厂建设进展，要求坚持系统思维，大力更新修复混错接、漏接、老旧破损管网，加快实现管网雨污分流、截污纳管，增强污水收集处理效能。。尹弘召开座谈会听取了萍乡市工作汇报。他强调，要加快推进产业转型升级，以深化落实“1269”行动计划为抓手，分级分类推进钢铁、建材、陶瓷、烟花爆竹等传统产业数字化转型，大力发展“专精特新”企业，推动制造业高端化、智能化、绿色化发展。要着力培育壮大新兴产业，充分依托产业基础和资源禀赋，加快推动新材料、智能制造、电子信息、绿色食品等新兴产业发展，着力打造新的经济增长点。要深化产业开放合作，积极承接沿海发达地区产业转移，纵深推进湘赣边区域合作示范区建设，加快形成梯度发展、分工合理、优势互补的产业协作体系。要持续深化开发区管理体制改革，完善中试平台、检验检测、仓储物流等生产性服务业，切实增强开发区产业发展承载力和竞争力。。尹弘强调，萍乡是老工业基地和老工矿城市，生态环保压力一直比较大。要坚持立行立改、即知即改，细化完善整改措施，明确整改责任，坚决抓好中央生态环保督察反馈问题整改，持续提升生态环境质量。要加快推动绿色转型发展，加强重点行业节能降耗改造和资源循环利用，努力形成节约集约、绿色低碳发展模式。要积极探索生态产品价值实现机制，共同唱响大武功山旅游品牌，切实把生态优势转化为发展优势。。尹弘强调，要毫不松懈抓好安全生产，深刻反思上栗“5·31”事故教训，压紧压实安全生产责任，更好扛起“促一方发展、保一方平安”的使命重任。要加大隐患排查整治力度，扎实开展烟花爆竹集中排查整治专项行动，紧盯重点行业领域深入细致开展排查整治，切实维护人民群众生命财产安全。要严格落实固本强基提升本质安全水平的“1+7”政策文件，强化人防、物防、技防等各项措施，不断提高本质安全水平。。尹弘强调，要坚决扛起管党治党政治责任，持续深化李小豹案以案促改工作。要从严教育管理干部，深入开展党纪学习教育，强化党员干部全方位管理和经常性监督，大力弘扬担当实干作风，努力打造高素质专业化干部队伍。要牢固树立正确政绩观，牢牢把握“三新一高”战略导向，坚持实事求是、求真务实，以“功成不必在我、功成必定有我”的责任担当推动高质量发展。要深化正风肃纪反腐，持续保持惩治腐败高压态势，深入整治群众身边不正之风和腐败问题，持续修复净化政治生态。,政府领导到其他城市考察学习或访问,0.0,True
江西省,聚焦重点发挥优势全力推动共建一带一路高质量发展,2024-07-05,7月4日，省长叶建春主持召开省参与“一带一路”建设领导小组第十一次会议。他强调，要深入学习贯彻习近平总书记关于推进“一带一路”建设的重要论述和考察江西重要讲话精神，充分认识推进共建“一带一路”建设面临的新形势、新机遇，充分发挥我省优势，坚持聚焦重点、靶向发力，落实落细各项工作，为推进高质量共建“一带一路”作出江西新的更大贡献。。会议听取了去年我省参与“一带一路”建设情况汇报，审议了2024年工作要点及《江西省更好参与共建“一带一路”高质量发展的行动方案》，研究了相关具体问题，对下一步工作进行部署。。叶建春指出，要从贯彻落实习近平总书记重要讲话精神的高度深化认识，以建设内陆开放型经济试验区为契机，更加积极主动融入“一带一路”建设，持续放大我省区位、产业、生态、资源等方面优势，全面提高开放合作水平，加快打造内陆地区改革开放高地。相关各方要主动作为，加强协调，及时研究解决新形势下遇到的新情况新问题，注重与周边省份及沿江沿边省份的沟通协调，持续优化营商环境，既助力江西企业“轻装上阵”参与国际合作竞争，又促进外资更加全面了解江西、提升来赣投资意愿。。就结合江西实际推进高质量共建“一带一路”，叶建春强调，要提升互联互通水平，坚持优化布局，科学统筹资源，为江西企业“走出去”构建更便捷、更低成本的通道，鼓励企业积极参与国家援外项目，促进树立江西良好形象。要巩固拓展务实合作，积极发挥友城平台作用，力争取得务实合作成果，扎实推进相关签约项目，坚定不移推进贸易自由化和投资便利化，深入开展目标化、清单化精准招商，强化资本招商、基金招商，力争招引落地一批优强外资项目。要深化人文交流互鉴，加强民间机构联系，积极宣传推介江西“红、古、绿”文化风情，加强中医药、陶瓷文化交流和旅游合作，讲好讲活中国故事、江西故事。要完善安全保障体系，加快构建境外项目法律支撑服务体系，指导江西企业做好海外风险防范，引导它们做到危地不往、乱地不去、危业不投。,政府领导到其他城市考察学习或访问,0.692386554449627,True
江西省,推动产业链整体迈向中高端,2024-07-17,7月16日，省委常委、常务副省长任珠峰在南昌、抚州调研装备制造、有色金属产业链高质量发展工作，并召开企业座谈会。。在江西百胜智能科技股份有限公司、抚州比亚迪实业有限公司、江西中志精密机械有限公司等企业，任珠峰进车间、看产品、问诉求，向企业负责人详细了解生产经营、技术研发和产品应用等情况。他强调，要深入学习贯彻习近平总书记关于新质生产力的重要论述和考察江西重要讲话精神，以科技创新为引领，专注实业、深耕主业，持续推进装备制造、有色金属产业链整体迈向中高端，为全省经济社会高质量发展注入更多新质生产力。。随后，任珠峰在抚州市主持召开企业座谈会，听取两条产业链重点企业代表发言，并请省直有关部门现场回应企业提出的意见建议和诉求。他强调，装备制造、有色金属两条产业链链条长、涉及面广、牵引作用大，对于推动全省经济持续向好具有重要的引领、支撑作用。各地及省直相关部门要切实强化链式思维，做实“链长+链主+专班”工作机制，优化政策供给，强化要素保障，实化帮扶举措，常态化、清单化、项目化推进产业链延链补链强链，不断提升产业能级。他指出，企业是产业链做大做强的关键所在，希望企业坚定信心、保持定力，立足自身特色、发挥比较优势，不断做大规模、做强品牌，持续提升企业竞争力，争当行业标杆；同时，坚决履行好安全生产主体责任，加大人防物防技防投入力度，不断织密织牢安全生产防护网。,其他,0.7620831419520901,True
江西省,省领导调研指导全省气象工作,2024-07-15,7月12日，江西省副省长张莹走访调研省气象局，充分肯定江西气象高质量发展势头强劲、潜力巨大，强调要坚决筑牢气象防灾减灾“第一道防线”，在全方位服务保障经济社会发展和人民生命安全中发挥应有作用，努力将气象高质量发展蓝图转化为气象事业发展的美好现实。。张莹一行察看了人工增雨作业和应急保障装备，详细了解人工影响天气作业规范，慰问关切工作人员。随后，实地调研智气象空间、气象影视服务业务平台，详细了解强降水“631”风险预警工作机制、通用航空气象服务平台、气象大数据平台、奇象风云文旅康养直播电商大平台等运行情况，听取了气象监测预报预警服务、生态气象服务、农业气象服务等业务情况汇报，并召开调研座谈会。。座谈会上，张莹听取了省气象局党组书记、局长傅敏宁关于全省气象高质量发展情况的汇报，对气象工作取得的成绩给予高度肯定。她指出，全省气象系统干部职工深入学习贯彻落实习近平总书记考察江西重要讲话精神，敢于探索、善于作为，推动气象工作整体水平全面提升，特别是气象防灾减灾成效显著，气象社会服务亮点纷呈，气象重点工作成绩突出，在服务经济社会发展、护佑人民安全福祉等方面作出了重要贡献。。张莹指出，气象事业事关人民群众生命财产安全，事关经济社会稳定发展。她强调，全省气象部门要筑牢“第一道防线”，将防汛抢险救灾气象服务作为当前首要政治任务，全力做好气象监测预报预警服务，严格落实强降水“631”叫应机制，做好“五防”气象服务，把握防汛工作主动权；要强化科技创新引领，大力推进5G、大数据、人工智能等新技术在气象领域的融合应用，培育和发展气象领域新质生产力，深化与科研院所、高校和企业合作，强化科技创新平台建设；要提升监测预报能力，以全国气象高质量发展先行试点工作验收为契机，围绕监测精密、预报精准、服务精细，加快推进“十四五”气象重点工程建设实施，积极谋划“十五五”预研工作，发挥好国债资金效益，及时将项目成效转化为气象业务服务能力。。张莹要求，气象部门要主动融入、积极作为，服务经济社会高质量发展，发挥气象在现代化经济体系中的生产要素作用，聚焦航空、农业、文旅康养、生态等各领域需求，深入开展“气象+”行动，统筹发挥好“趋利”“避害”双重作用；要高效开展人工影响天气作业，加强高温监测，强化雨情、水情、墒情等联合预报，充分发挥飞机、火箭空地立体化、联动作业优势，做好增雨作业准备，加强人工影响天气作业安全管理；深入贯彻落实省委“大抓落实年”部署要求，深化全面从严治党，持续改进作风，加快推进气象人才队伍高质量发展，在谱写中国式现代化气象篇章和江西篇章的具体实践中奋勇争先、敢作善为。。省政府办公厅副主任谢达贵随同调研。省气象局在昌领导班子成员，局各内设机构、直属各单位，江西信息应用职业技术学院主要负责同志参加座谈会。,政府领导到其他城市考察学习或访问,0.7017137515151103,True
江西省,守正创新做好宣传思想文化各项工作凝心聚力谱写中国式现代化江西篇章,2024-07-14,江西省人民政府 今日关注 守正创新做好宣传思想文化各项工作 凝心聚力谱写中国式现代化江西篇章。7月13日，省委书记、省委宣传思想文化工作领导小组组长尹弘主持召开省委宣传思想文化工作领导小组会议。他强调，要深入学习贯彻习近平文化思想和习近平总书记考察江西重要讲话精神，坚持正确方向，强化使命担当，守正创新做好宣传思想文化各项工作，凝心聚力谱写中国式现代化江西篇章。。会议审议并原则通过了省委宣传思想文化工作领导小组工作规则以及办公室工作细则。会议强调，领导小组要发挥牵头抓总作用，及时研判解决重点难点问题，切实加强宣传思想文化领域重大工作的总体谋划、整体推进。领导小组办公室要加强统筹协调，扎实做好督促落实，推动各项任务落地见效。。会议审议并原则通过了《关于贯彻落实〈党史学习教育工作条例〉的工作要点及任务分工方案》。会议强调，要抓好学习培训，推动党史学习教育常态化长效化，采取理论中心组学习、开展教育培训、参加实践活动等形式，组织引导党员干部学好党史、用好党史，切实从党的历史中汲取智慧和力量。要强化宣传阐释，深入挖掘我省丰富红色资源、感人红色故事，用好新时代文明实践中心、融媒体中心等平台，开展多种形式的宣传教育，组织开展党史研究、党史著作编写、党史资料征集等工作，努力推出一批高质量研究成果。要注重学以致用，坚持学用结合、知行合一，教育引导党员在锤炼党性、为民服务、推动发展上身体力行，凝聚建功新时代、奋进新征程的精气神，切实做到学史明理、学史增信、学史崇德、学史力行。。会议强调，要坚持不懈用习近平新时代中国特色社会主义思想凝心铸魂，牢牢把握正确政治方向和舆论导向，深入贯彻团结稳定鼓劲、正面宣传为主的基本方针，切实筑牢团结奋斗的共同思想基础。要建强舆论阵地，全面落实意识形态工作责任制，压实各地各部门责任，加强宣传思想文化阵地建设管理，努力构建大宣传格局。要壮大主流舆论，统筹推进主题宣传、形势宣传、政策宣传、成就宣传、典型宣传，充分发挥主流媒体作用，着力加强选题策划，建强区域传播平台，打造有影响力栏目节目，创作更多展示江西形象、群众喜闻乐见的精品力作，构筑主流舆论强大态势。要扩大舆论影响，坚持理念创新、内容创新、手段创新、技术创新和体制机制创新，深入推进传统媒体和新兴媒体的融合发展，统筹各类资源力量，打造融媒体矩阵，加强国际传播能力建设，不断提升舆论传播力、引导力、影响力，讲好新时代新征程中国故事、江西故事。,不属于政府领导到其他城市考察学习的新闻,0.7977361547288465,True
江西省,十五届省委第五轮巡视完成反馈,2024-07-14,根据省委部署，十五届省委第五轮巡视反馈工作近日全部完成。本轮巡视反馈进一步创新组织形式，在“一对一”反馈基础上，统筹召开省委巡视省属金融企业情况集中反馈会议暨地方金融系统警示教育大会，对南昌市及所辖行政区和开发区实行一体反馈。。7月1日至12日，10个省委巡视组分别向本轮巡视的40个党组织进行了反馈。省领导梁桂、马森述、任珠峰、庄兆林、罗小云、卢小青、孙洪山、袁勤华、夏文勇、张莹分别出席巡视反馈会议并讲话。省委巡视工作领导小组成员，省纪委省监委、省委组织部相关负责同志参加反馈。会议传达了省委书记尹弘听取巡视汇报时的讲话精神，向被巡视党组织主要负责人通报了巡视发现的主要问题，并向领导班子反馈了巡视情况，对抓好巡视整改作出部署。。反馈严肃指出了巡视发现的突出问题。有的学习领悟习近平新时代中国特色社会主义思想不深入，从党的创新理论中找理念、找思路、找方法的能力不够强，推动高质量发展办法不多，履行职责使命不到位，统筹发展和安全、防范化解风险还有差距。有的以人民为中心的发展思想树得不牢，巩固拓展脱贫攻坚成果、推进乡村全面振兴存在短板，民生领域欠账较多，侵害群众利益问题时有发生。有的落实管党治党主体责任不严不实，监督执纪宽松软，一些重点领域、关键环节廉洁风险较大，违反中央八项规定精神问题屡禁难绝。有的领导班子凝聚力战斗力不强，选人用人把关不严，国有企业、开发区、市县政府平台公司“萝卜招聘”“近亲繁殖”“裙带关系”问题突出，一些干部奋发进取的精气神不足。。反馈强调，被巡视党组织及党员干部要坚定政治信仰、践行对党忠诚，坚持不懈用习近平新时代中国特色社会主义思想凝心铸魂，深入贯彻落实习近平总书记考察江西重要讲话精神，聚焦“走在前、勇争先、善作为”的目标要求，真抓实干、担当作为，把“两个维护”体现在履职尽责的实际行动和工作成效上。要站稳人民立场，树立正确政绩观和权力观，结合开展群众身边不正之风和腐败问题集中整治，坚决纠治高标准农田建设、乡村振兴、教育医疗、养老社保等领域突出问题，推动党的惠民利民、安民富民政策落到实处，持续增强人民群众获得感、幸福感、安全感。要坚定贯彻党的自我革命战略部署，扛牢管党治党主体责任和监督责任，扎实开展党纪学习教育，坚持严管厚爱，敢于善于斗争，以永远在路上、永远吹冲锋号的坚韧执着，将严的要求一贯到底。要落实新时代党的组织路线，坚持党管干部、党管人才原则，切实加强领导班子、干部人才队伍和基层党组织建设。。反馈指出，巡视整改是严肃的政治任务，必须较真碰硬，问题不解决不放过。被巡视党组织要认真学习贯彻新修订的巡视工作条例，自觉履行巡视整改主体责任，把巡视整改作为履行管党治党责任、推动高质量发展的重要抓手，从思想、责任、作风等方面全方位整改。“一把手”要对巡视整改负首责、负总责，带头领办督办重点难点问题，确保真改实改改到位。领导班子其他成员要主动认领问题，把自己摆进去、把职责摆进去、把工作摆进去，推动职责范围内巡视整改任务落到实处。纪检监察机关、组织部门要加强整改监督，盯住重点人、重点事不放，对整改走过场、不到位、敷衍应付的抓住典型严肃追责问责。。据了解，省委巡视组还收到反映一些领导干部的问题线索，已按有关规定转纪检监察机关、组织部门等有关方面处理。,其他,0.950657533136213,True
江西省,九江系统化打造海绵城市,2024-07-15,2023年6月，九江入选全国第三批系统化全域推进海绵城市建设示范城市以来，坚持绿色发展理念，立足雨水丰沛，依山面江等地域特点，坚持全域谋划、系统施策，因地制宜、有序实施，推进海绵城市示范建设取得显著成效。。坚持以机制建设为抓手，通过建立实施“四强”工作机制，有效保障海绵城市示范建设各项工作有序推进。。一是高位推动强调度。将海绵城市建设工作写入市党代会报告和《政府工作报告》，并成立了以市委书记和市长为“双组长”，各区、各部门主要负责同志为成员的海绵城市建设工作领导小组。市委、市政府主要领导多次主持召开领导小组会议，统筹部署海绵城市示范建设重点工作；市政府分管领导担任市海绵办主任，每月召开办公会、现场会，专题研究解决示范建设工作中的实际问题；各区均成立了本级海绵城市建设工作领导小组，由党政“一把手”亲自抓、常态督。同时，制定印发了《九江市海绵城市建设示范工作行动方案》《九江市海绵城市建设工作领导小组工作规则》等文件，逐项明确了住建、水利、财政、自然资源、发改等部门的工作职责，形成了“市区联动、部门协同、常态推进”的工作格局。。二是健全流程强管控。坚持立法先行，推动《九江市海绵城市建设管理条例》正式列入2024年人大立法任务，完成编制立法计划、立法调研等前期工作。坚持规划先行，结合国土空间规划和海绵城市示范建设要求，及时修编了海绵城市专项规划、中心城区排水防涝和污水专项规划，进一步完善了海绵城市建设上位规划。坚持制度先行，相继出台了《关于进一步加强我市系统化全域推进海绵城市建设项目全流程管控的通知》《九江市海绵城市施工图设计文件审查工作管理办法》等11项制度文件，严格落实项目设计、施工、验收、运维等环节管理，实现全流程管控。。三是标准示范强效果。主动对标海绵城市建设先行地区，先后组织业务骨干前往珠海、昆山、青岛、鹰潭等城市实地考察学习，邀请专家学者授课解惑，广泛开展技术培训，提升从业人员专业水平。及时对《九江市海绵城市规划设计导则》《九江市海绵城市建设标准图集》《九江市海绵城市建设设计文件编制要求及审查要点》等6项技术文件进行修编完善，进一步规范提升建设标准。同时，对每个示范项目逐一审查优化设计方案和施工图设计，逐一到现场进行详细的海绵技术交底和现场帮扶，并创新推出“以点带面”建设模式，即指导施工单位先建设一个示范标准点位，再对照进行整体建设，有效提高了项目建设效率和项目质量。。四是常态巡查强落实。建立实施海绵城市建设项目常态化巡查机制，实行日巡查、周通报、月调度。对所有示范项目施工过程进行全覆盖、全过程监管和即时指导，综合运用专题简报、督查函、提示函等形式，定期通报项目进展和存在问题，常态化督导项目问题整改，确保施工质量和效果。同时，制定出台《九江市海绵城市建设绩效考核管理办法》，结合日常动态巡查及督导整改情况，将海绵城市建设绩效考核结果纳入全市高质量发展考核内容，充分发挥绩效考核“指挥棒”作用，作为各区、各相关部门党政领导班子和领导干部综合考核评价的重要依据。。坚持以系统化、全域性为着力点，在全面摸排城市本底的基础上，制定修编《九江市海绵城市建设系统化实施方案》，系统谋划并有序实施了一批示范项目，使海绵城市理念真正在九江落实落地。。牢固树立“人民城市人民建，人民城市为人民”的发展理念，广泛发动群众共商共建共享，积极构建“人人参与、人人支持”的良好局面。,政府领导到其他城市考察学习或访问,0.9029445244900028,True
江西省,弘扬伟大建党精神汲取强大奋进力量凝心聚力谱写中国式现代化江西篇章,2024-07-02,江西省人民政府 今日关注 弘扬伟大建党精神汲取强大奋进力量 凝心聚力谱写中国式现代化江西篇章。7月1日，我省举行庆祝中国共产党成立103周年座谈会。省委书记尹弘出席并讲话，代表省委向全省广大党员致以节日问候。他强调，全省各级党组织和广大党员要深入贯彻习近平总书记考察江西重要讲话精神，聚焦“走在前、勇争先、善作为”的目标要求，大力弘扬伟大建党精神和井冈山精神、苏区精神、长征精神，汲取强大奋进力量，担当实干、笃行不怠，凝心聚力谱写中国式现代化江西篇章。。叶建春主持，梁桂、马森述、任珠峰、庄兆林、黄喜忠、罗小云、陈敏、卢小青等在职省级党员领导干部出席。。吴忠琼、李红军、王前虎、徐结强、周淑琴、葛桂兰等6名党员干部代表，分别围绕巩固拓展主题教育成果、持续推进党纪学习教育、开展“大抓落实年”活动、整治形式主义为基层减负、发挥党组织战斗堡垒和党员先锋模范作用作了发言。。尹弘指出，中国共产党从诞生至今，走过了103年的光辉历程。一百多年来，我们党团结带领人民不懈奋斗，推翻“三座大山”，建立新中国，坚持和发展中国特色社会主义，成功推进和拓展中国式现代化，中华民族迎来了从站起来、富起来到强起来的伟大飞跃。特别是新时代以来，以习近平同志为核心的党中央，统筹推进“五位一体”总体布局，协调推进“四个全面”战略布局，推动党和国家事业取得历史性成就、发生历史性变革，如期实现第一个百年奋斗目标，向着第二个百年奋斗目标破浪前行。新时代的实践充分证明，习近平总书记不愧为我们党的坚强核心，不愧为党领导人民成就伟业的主心骨，不愧为中华民族伟大复兴号巨轮的领航人。。尹弘强调，江西具有光荣的革命传统，被誉为“红色家园”。党史上的许多重大事件在这里发生，共产党人的文韬武略曾在这里试验过、预演过，一山一水都留下了先烈先辈的战斗足迹，一草一木都记录着可歌可泣的英雄故事。建好“红色家园”，是全省上下对历史最好的致敬、对当下最好的把握、对未来最好的作答。党中央对江西革命老区高度重视、十分关心。党的十八大以来，习近平总书记先后3次亲临江西考察指导，多次作出重要指示批示，为江西发展指明了前进方向、提供了根本遵循。奋进新征程，全省各级党组织和广大党员要深入贯彻习近平总书记考察江西重要讲话精神，传承红色基因，牢记初心使命，勇于担当实干，奋力谱写中国式现代化江西篇章。。在昌生产工作一线的党的二十大代表，全国、全省优秀共产党员和优秀党务工作者以及先进基层党组织负责人代表，今年获得“光荣在党50年”纪念章的老党员代表等参加座谈会。,不属于政府领导到其他城市考察学习的新闻,0.5218149313868146,True
江西省,以产业转型升级引领高质量发展新闻发布会在南昌举行,2024-06-24,"6月24日，江西省政府新闻办、萍乡市联合召开“推动高质量发展”系列新闻发布会：以产业转型升级引领高质量发展新闻发布会。萍乡市委副书记、市长熊运浪发布和介绍有关情况。萍乡市委常委、市政府常务副市长罗璇，萍乡市政府副市长刘运成，萍乡市发改委党组书记、主任李洪出席新闻发布会，并回答记者提问。省委宣传部对外新闻处副处长徐承主持新闻发布会。。今天我们举行“推动高质量发展”系列发布会第三场，邀请萍乡市委副书记、市长熊运浪先生，市委常委、常务副市长罗璇女士，副市长刘运成先生，市发改委党组书记、主任李洪先生介绍“ 以产业转型升级引领高质量发展”有关情况，并回答大家的提问。。大家好！非常高兴在这里同大家见面，介绍萍乡推动高质量发展的有关情况。首先，我谨代表萍乡市委、市人民政府，代表200万萍乡人民，向大家长期以来对我们萍乡经济社会发展给予的关心和支持，表示衷心的感谢！。在发布会正式开始之前，我先向大家简要介绍一下萍乡。萍乡是江西的“西大门”,素有“湘赣通衢”、“吴楚咽喉”之称。萍乡是红色之城，是工人运动的摇篮，是秋收起义的策源地和主要爆发地，毛泽东、刘少奇、李立三等老一辈无产阶级革命家，在这里书写了中国无产阶级革命运动史上的壮丽篇章；萍乡是魅力之城，风光秀美、景色宜人，森林覆盖率达67.24%，有清幽明净的杨岐普通寺，有“地下艺术长廊”之称的亿年溶洞孽龙洞，还有享誉世界的“云中草原、户外天堂”5A级旅游景区武功山；萍乡是美食之城，最具赣菜代表的莲花血鸭是国宴菜品，还有萍乡小炒肉、花蝴蝶、萍乡炒粉等辣味美食，远近闻名、令人回味无穷，素有“中国吃辣看江西,江西吃辣在萍乡”的美誉；萍乡也是转型之城，作为“中国近代工业的发祥地之一”，相继获得了国家产业转型升级示范区、全国文明城市、国家创新型试点城市等一大批“国字号”荣誉。。近年来，萍乡市坚持以习近平新时代中国特色社会主义思想为指导，深入贯彻党的二十大和二十届二中全会精神，全面落实习近平总书记考察江西重要讲话精神，聚焦“走在前、勇争先、善作为”的目标要求，围绕打造“三大高地”、实施“五大战略”，强化“六个聚力”，纵深推进赣西、长株潭城市群叠加链接区和湘赣边区域合作枢纽区建设，全力打造产业转型升级标杆城市，谱写了中国式现代化建设的萍乡篇章。。二是转型升级活力迸发。我们始终把推动产业转型升级作为萍乡发展的主题主线，促进传统产业焕新，新兴产业壮大，着力构建有基础、有特色、有前景的现代化产业体系。近年来，萍乡老工业基地调整改造成效3次受到国务院督查激励，国家产业转型升级示范区建设连续2年获得国家发改委通报表扬。一批传统产业通过改造提升、靠大联强焕发勃勃生机。目前，芦溪县电瓷产品占据了国内75%以上、国际20%以上的市场份额，上栗县烟花爆竹产品销量占国际市场的四分之一。我们着力培育新材料、智能制造、绿色食品等新动能，大力实施制造业重点产业链现代化建设“10210”行动计划，即全面提升金属材料及资源循环利用、装备制造、节能环保等10条重点产业链现代化水平，打造材料加工、装备制造2个综合实力和竞争力强的先进制造业集群，实现全市规模以上工业主营业务收入年均增长10%左右。2023年，我市10条制造业重点产业链完成工业增加值247.7亿元，新动能产业增加值同比增长7.9%，表现出强劲的转型活力。。人民日报记者：萍乡市作为全国首批资源枯竭城市转型试点城市，近年来在产业转型升级方面取得一定成效，但是也面临诸多困难和挑战。请问，下一步在推动工业高质量发展方面有哪些新的思路和举措？",不属于政府领导到其他城市考察学习的新闻,0.8619362575372622,True
江西省,认真学习贯彻习近平总书记重要讲话重要指示精神,2024-06-23,6月21日，省委常委会召开会议，传达学习习近平总书记近期重要讲话重要指示精神，研究我省贯彻落实意见。省委书记尹弘主持会议。。会议强调，要认真学习贯彻习近平总书记对防汛抗旱工作的重要指示精神，牢固树立安全发展理念，进一步强化风险意识、底线思维，从严从细从实抓好防汛救灾各项工作。要加强监测预报预警，认真落实“6小时风险预警、3小时风险通报、1小时风险叫应”机制，紧盯重点区域、重点部位和重点群体，及时组织做好防灾避险，牢牢守住不发生群死群伤事件的底线。要全力抓好防范应对，加大对山洪易发区、地质灾害隐患点、低洼易渍涝地带和公路铁路沿线、切坡建房、阻碍行洪部位等区域的风险隐患排查力度，及时消除隐患问题、处置突发险情，最大限度降低灾害损失。要全面压实各方责任，严格落实“党政同责、一岗双责、齐抓共管、失职追责”的要求，严格执行值班值守和应急处置各项规定，加强省防汛抗旱指挥部统一调度指挥，统筹抓好防汛与抗旱工作，切实提高防汛抢险应急处置水平和群众自救互救能力，确保人民群众生命财产安全。。会议强调，要认真学习贯彻习近平总书记在青海考察时的重要讲话精神，坚定不移推动高质量发展，全面推进制造业数字化转型，加快改造升级传统产业，大力发展新兴产业、培育新质生产力。要全面加强生态文明建设，纵深推进国家生态文明试验区建设，坚决抓好中央生态环保督察发现问题整改，健全完善生态产品价值实现机制，加快经济社会发展全面绿色转型。要加大力度保障和改善民生，扎实办好办成一批可感可及的民生实事，深入实施乡村建设行动，促进民族宗教团结和谐。要提高党的建设质量水平，坚持以政治建设为引领，深化党纪学习教育，推进作风建设常态长效，构建风清气正的良好政治生态。。会议强调，要认真学习贯彻习近平总书记致黄埔军校建校100周年暨黄埔军校同学会成立40周年的重要贺信精神，弘扬“爱国、革命”的黄埔精神，广泛团结海内外黄埔同学及其亲属，深入推进赣台融合发展，深化两地交流交往，更好促进两地同胞心灵契合，不断增进国家民族认同。。会议强调，要认真学习贯彻习近平总书记致2024世界智能产业博览会的重要贺信精神，抢抓人工智能产业发展机遇，结合实施“1269”行动计划，大力加强人工智能推广应用，培育发展5G、工业互联网、云计算、大数据、区块链等新兴数字产业，为高质量发展提供新动能。,其他,0.5292620939809792,True
