province,topic,date,content,label,score
宁夏回族自治区,宁夏党政代表团在浙江学习考察瞻仰南湖红船弘扬红船精神坚守初心使命走好新的长征路建设美丽新宁夏易炼红梁言顺张雨浦参加,2023-03-29,宁夏党政代表团在浙江学习考察<br>瞻仰南湖红船 弘扬红船精神坚守初心使命<br>走好新的长征路建设美丽新宁夏<br>易炼红梁言顺张雨浦参加- 宁夏。宁夏党政代表团在浙江学习考察 瞻仰南湖红船 弘扬红船精神坚守初心使命 走好新的长征路建设美丽新宁夏 易炼红梁言顺张雨浦参加。3月28日，宁夏党政代表团在浙江省学习考察，深入学习贯彻党的二十大精神和习近平新时代中国特色社会主义思想，大力弘扬红船精神，感悟初心使命，坚定理想信念，学习浙江践行习近平生态文明思想、建设共同富裕示范区的经验做法，汲取前行动力，走好新的长征路，全面建设社会主义现代化美丽新宁夏。浙江省委书记、省人大常委会主任易炼红，自治区党委书记、人大常委会主任梁言顺，自治区党委副书记、自治区主席张雨浦参加。。小小红船承载千钧，秀水泱泱精神永恒。1921年8月初，中国共产党第一次全国代表大会在嘉兴南湖的一条游船上闭幕，开启了中国共产党的伟大远航。宁夏党政代表团到浙江后，第一站就来到党的诞生地——嘉兴南湖红船，怀着无比崇敬的心情重温党的光辉历史。在南湖湖心岛，代表团成员深情凝视、驻足瞻仰红船，聆听党的一大召开情况和红船精神讲解，并参观南湖革命纪念馆。大家表示，红船精神是伟大建党精神的集中体现，是宝贵的精神财富，感召着一代又一代共产党人不忘初心、牢记使命、矢志奋斗。要大力传承和弘扬红船精神，坚持不懈用习近平新时代中国特色社会主义思想凝心铸魂，让红色基因代代相传、生生不息，走好新的长征路，团结奋斗建设社会主义现代化美丽新宁夏。。3月的安吉余村，茶园吐翠、游人如织，绵绵青山与勃勃生机同框入画、相映成趣。在习近平总书记“绿水青山就是金山银山”理念指引下，余村大力修复生态环境，发展休闲旅游，实现了从“矿山经济”向“美丽经济”的转变。代表团沿村道考察未来乡村展示馆、文化礼堂、春林山庄等，探寻余村由“卖石头”到“卖风景”“卖文化”的转型历程，现场体悟习近平生态文明思想的实践伟力。大家认为，余村的绿色嬗变生动阐释了“生态本身就是一种经济，保护生态，生态也会回馈你”，宁夏生态环境有其脆弱的一面，更要学习先进、开拓思路、创新实践，大力实施生态优先战略，在保护的前提下开发好、运用好生态资源，把绿水青山源源不断地转化为金山银山。。总面积11.5平方公里的西溪国家湿地公园，是目前国内首个集城市湿地、农耕湿地、文化湿地于一体的国家湿地公园。沿着总书记考察过的路线，代表团走进人与自然和谐共生的生态画卷，由衷为自然山水与人文气息的完美相融点赞，表示要认真学习借鉴西溪湿地的做法，扎实推进“一河三山”保护治理，为群众创造更多绿色空间。。浙江省委常委、秘书长陈亦君，浙江省副省长王文序，自治区领导雷东生、陈春平、买彦州、赵旭辉、白尚成、刘军参加。（记者 马晓芳 姜璐）,政府领导到其他城市考察学习或访问,0.0
宁夏回族自治区,自治区党委常委会扩大会议专题传达学习总书记考察宁夏重要讲话精神梁言顺主持并讲话,2024-06-21,自治区党委常委会（扩大）会议<br>专题传达学习总书记考察宁夏重要讲话精神<Br>梁言顺主持并讲话- 宁夏。自治区党委常委会（扩大）会议 专题传达学习总书记考察宁夏重要讲话精神 梁言顺主持并讲话。6月21日，自治区党委常委会召开（扩大）会议，专题传达学习习近平总书记考察宁夏重要讲话精神，研究部署学习宣传贯彻工作。自治区党委书记梁言顺主持会议并讲话，强调要深入学习贯彻总书记重要讲话精神，倍加珍惜总书记的关心关怀和恩泽恩情，带着感情、使命和责任感恩奋进新征程，以铸牢中华民族共同体意识为主线，以先行区建设为牵引，加快建设经济繁荣、民族团结、环境优美、人民富裕的美丽新宁夏，在中国式现代化建设中谱写好宁夏篇章。。会议指出，总书记始终情系塞上江南、心系宁夏人民，时隔4年再次亲临宁夏考察指导，看望各族干部群众，听取自治区党委和政府工作汇报并发表重要讲话，饱含着对宁夏满满的缘和情，充满着对宁夏人民的如山厚爱、似海深情，在宁夏发展历程中具有极其重要的历史性、标志性、里程碑意义。总书记的重要讲话从中国式现代化全局的高度，对宁夏工作给予肯定，为宁夏发展把脉定向，展现了马克思主义政治家、思想家、战略家的宏阔视野和战略擘画，蕴含着科学深刻的辩证思维和系统观念，具有极强的思想引领力、政治动员力、实践穿透力、时代感召力，进一步丰富和发展了习近平新时代中国特色社会主义思想“宁夏篇”，是我们做好一切工作的指南针、破解一切难题的金钥匙，是宁夏当前和今后发展的总遵循、总纲领、总指针，为我们在新征程上谱写中国式现代化宁夏篇章提供了根本行动指引和强大思想武器。全区上下要从坚定拥护“两个确立”、坚决做到“两个维护”的政治高度，把学习贯彻总书记这次考察重要讲话同党的十八大以来对宁夏系列重要讲话指示批示结合起来，一体深学细悟、整体融会贯通、坚决贯彻落实，切实转化为加快建设美丽新宁夏的强大动力、造福人民的务实行动、干事创业的进取精神，为强国建设、民族复兴伟业作出新贡献。。会议强调，学习宣传贯彻总书记重要讲话精神，是当前和今后一个时期的头等大事和首要政治任务。各地各部门要按照“高质量落实”的要求，组织广大党员干部深学细悟笃行，纳入党员干部教育培训重要内容，在全区上下来一场深刻的政治洗礼和理论熏陶，真正学出对总书记的忠诚信赖、学出推动高质量发展的思路举措、学出为民增福祉的责任担当。要广泛开展宣传阐释解读，全方位、多角度、立体式宣传宣讲，把总书记的嘱托和恩情播撒到宁夏大地的每个角落、播进各族群众的心坎里。要一体贯通、一以贯之、一抓到底推动落实，建立贯彻落实台账，用好“四防”常态化督查和“三察（查）一体”机制，以钉钉子精神把总书记嘱托的事办好、把宁夏的工作干好。（记者 马晓芳）,不属于政府领导到其他城市考察学习的新闻,0.6239094995667523
宁夏回族自治区,自治区党委召开离退休老干部通报会传达学习总书记考察宁夏重要讲话精神发挥老领导老同志优势推动学习宣传贯彻走深走实梁言顺主持,2024-06-23,自治区党委召开离退休老干部通报会<br>传达学习总书记考察宁夏重要讲话精神<br>发挥老领导老同志优势推动学习宣传贯彻走深走实<br>梁言顺主持- 宁夏。自治区党委召开离退休老干部通报会 传达学习总书记考察宁夏重要讲话精神 发挥老领导老同志优势推动学习宣传贯彻走深走实 梁言顺主持。6月22日上午，自治区党委召开离退休老干部通报会，传达学习总书记考察宁夏重要讲话精神，通报自治区党委学习宣传贯彻工作的安排部署。自治区党委书记、人大常委会主任梁言顺主持会议并讲话，强调总书记时隔4年再次考察宁夏并发表重要讲话是全区人民政治生活中的一件大事喜事，学习好宣传好贯彻好总书记重要讲话精神是全区上下的共同政治责任，希望各位老领导老同志发挥自身优势、主动担当作为，在推动学习宣传贯彻总书记重要讲话精神走深走实上作出积极贡献。。梁言顺首先传达了总书记重要讲话精神，向与会老领导老同志分享了学习领会的认识和感悟。他说，党的十八大以来总书记第三次亲临宁夏考察指导，充分表明总书记对宁夏人民始终充满深情、牵挂于心，对宁夏发展始终寄予厚望、指路领航，对宁夏干部始终谆谆教诲、激励前行，全区各族干部群众无比激动、倍感振奋，生动体现了人民领袖爱人民、人民领袖人民爱。总书记的重要讲话，站位强国建设、民族复兴战略高度，对新征程上加快建设美丽新宁夏作出新部署、提出新要求，是指引宁夏各项事业发展的根本遵循和行动指南。全区上下要牢记总书记的嘱托，从“两个维护”的政治高度，团结奋斗、真抓实干，走好新时代长征路，把对总书记的敬仰和信赖转化为建设现代化美丽新宁夏的强大动力、转化为造福宁夏人民的务实行动，不辜负总书记的重托厚望。。梁言顺指出，学习好、宣传好、贯彻好总书记重要讲话精神是当前和今后一个时期全区上下的头等大事和首要政治任务，自治区党委将组织召开系列会议，制定务实举措，扎扎实实开展学习宣传贯彻工作，持续深入推动总书记重要讲话精神在宁夏入脑入心、落地生根。具体工作中，要注重把总书记对宁夏工作的勉励鞭策转化为全区上下新征程再出发的昂扬斗志，动员广大党员干部群众坚定信心、接续奋斗，推动宁夏各项事业发展再上新台阶；聚焦总书记对新征程宁夏发展确定的目标任务，准确把握总书记对宁夏的科学定位，注重运用统筹方法，坚定担当使命任务，加快建设经济繁荣、民族团结、环境优美、人民富裕的美丽新宁夏；紧盯总书记部署的“四项重点任务”，全面对标梳理，制定贯彻落实的具体举措，一项一项抓紧抓实、抓出成效；以总书记对党员干部的谆谆教诲为标尺，善始善终抓好党纪学习教育，教育引导党员干部在遵规守纪的前提下，安心工作、放手干事，锐意进取、积极作为，以优良党风凝聚人心、引领社会风气。。梁言顺强调，推动学习宣传贯彻总书记考察宁夏重要讲话精神走深走实，各位老领导老同志责无旁贷、义不容辞。希望大家充分发挥自身优势，做深学细悟的带动者、宣传阐释的践行者、贯彻落实的促进者，示范带动更多党员干部自觉学习领会、宣传宣讲、贯彻落实总书记的重要讲话精神；希望大家一如既往关心支持自治区党委政府的工作，积极建言献策、献智出力，共同努力把总书记的重要讲话精神贯彻落实得更彻底、更到位。。李建华、任启兴、项宗西、齐同生等退休老同志出席，自治区领导雷东生、李东旭参加。（记者 马晓芳 姜璐）,不属于政府领导到其他城市考察学习的新闻,0.5308241781425203
宁夏回族自治区,宁夏党政代表团在深圳学习考察实地探寻鹏城腾飞奇迹的密码进一步解放思想加快建设美丽新宁夏梁言顺张雨浦王荣参加,2022-07-10,宁夏党政代表团在深圳学习考察<br>实地探寻鹏城腾飞奇迹的“密码”<br>进一步解放思想加快建设美丽新宁夏<br>梁言顺张雨浦王荣参加- 宁夏。宁夏党政代表团在深圳学习考察 实地探寻鹏城腾飞奇迹的“密码” 进一步解放思想加快建设美丽新宁夏 梁言顺张雨浦王荣参加。7月8日至9日，自治区党委书记、人大常委会主任梁言顺，自治区党委副书记、自治区主席张雨浦带领宁夏党政代表团在深圳市学习考察，深刻感悟习近平总书记引领鹏城腾飞发展的伟大奇迹，实地感受改革开放的热土、创新发展的热潮，进一步解放思想、开阔眼界，激发加快建设美丽新宁夏、奋进现代化新征程的活力动力。广东省政协主席王荣陪同考察。。党的十八大以来，习近平总书记三次亲临深圳前海视察，亲自谋划、亲自部署、亲自推动前海开发开放，使前海成为“梦实现的地方”“最浓缩最精华的核心引擎”。党政代表团第一站来到“特中之特”的前海深港现代服务业合作区，“依托香港、服务内地、面向世界”12个大字跃然眼前，前海气魄扑面而来。在前海展示厅、前海国际会议中心、前海石公园等地，梁言顺、张雨浦和代表团成员沿着总书记的足迹，感悟伟大思想激起的腾飞奇迹，感触前海发展日新月异的强劲脉搏。梁言顺说，前海奇迹充分彰显了习近平新时代中国特色社会主义思想的强大思想伟力和实践伟力，从当年的一片滩涂到今天生机勃勃的开放前沿，真正是一张白纸、从零开始，精耕细作、精雕细琢，画出了最美最好的图画，非常了不起。。科技创新是这次学习考察的“重头戏”。不论是靠自立自强成为民族骄傲的华为、引领全球无人机市场的大疆，还是国内最大的医疗器械商迈瑞、新能源汽车领跑者比亚迪，都以科技创新为引擎，走在技术前沿、行业前列。走进这些“智造”企业，随处可见的创新因子、科技元素，让代表团成员倍感震撼、倍受启发，切身感受到了科技创新的魅力和第一动力的作用。大家纷纷表示，要激扬创新之志、提升创新之能，加快推动以科技创新为核心的全面创新，力争使宁夏更多领域、更多产业在全国乃至全球由跟跑向并跑、领跑转变。。宁夏与深圳相隔千里，却有着不解的情缘。华润集团情系宁夏贫困群众，多年来定点帮扶海原县，在助力脱贫攻坚上出实招、用实功、求实效，让移民群众真真切切得到了实惠。海吉星国际农产品物流园，一头连着塞上江南的田间地头，一头连着南海之滨居民的餐桌，每天来自宁夏的菜心、芥兰、硒砂瓜等600吨，其中60%保供香港，是名副其实的粤港澳大湾区“菜篮子”。从华润到海吉星，天涯比邻、身远心近的兄弟情谊温暖着代表团，梁言顺详细询问企业与宁夏合作发展情况，看到长期以来携手协作取得的丰硕成果，得知宁夏农产品在这里大受欢迎、广受追捧，由衷高兴、真心点赞。。代表团一路走、一路看，思想在激荡、观念在碰撞，每个人都收获满满。大家感到，深圳从试验田到示范区、从杀出一条血路到闯出一条新路，有太多值得学习借鉴的好思路、好经验，要结合宁夏实际认真研究思考、消化吸收，进一步解放思想、开动脑筋，进一步加快创新、加强合作，以创新的思路和举措加快黄河流域生态保护和高质量发展先行区建设。。广东省委副书记、深圳市委书记孟凡利，广东省委常委、统战部部长王瑞军，深圳市委副书记、市长覃伟中，深圳市人大常委会主任骆文智，自治区领导雷东生、买彦州、赵旭辉、赵永清、刘可为、吴秀章、王道席参加。（记者 马晓芳 姜璐）,政府领导到其他城市考察学习或访问,0.0
宁夏回族自治区,自治区政府党组召开扩大会议专题传达学习习近平总书记考察宁夏重要讲话精神牢记嘱托实干担当奋力写好现代化建设宁夏篇章,2024-06-23,自治区政府党组召开扩大会议<br>专题传达学习习近平总书记考察宁夏重要讲话精神<br>牢记嘱托 实干担当 奋力写好现代化建设宁夏篇章- 宁夏。自治区政府党组召开扩大会议 专题传达学习习近平总书记考察宁夏重要讲话精神 牢记嘱托 实干担当 奋力写好现代化建设宁夏篇章。6月23日，自治区主席、政府党组书记张雨浦主持召开自治区政府党组（扩大）会议，专题传达学习习近平总书记考察宁夏重要讲话精神，按照自治区党委安排，研究部署政府党组贯彻落实工作。。会议强调，习近平总书记考察宁夏重要讲话，进一步明确了宁夏在中国式现代化建设全局中的发展定位和奋斗目标，充分体现了对宁夏发展的殷切期望和信任重托，为我们奋力谱写中国式现代化建设宁夏篇章提供了根本遵循。政府党组要深刻认识习近平总书记考察宁夏的现实意义、战略意义和里程碑意义，站在坚定拥护“两个确立”、坚决做到“两个维护”的政治高度，强化实干意识、担当意识、创新意识、质效意识，带头学习、带头宣讲、带头贯彻、带头落实，紧紧围绕总书记对宁夏发展提出的总体要求和重点任务，坚持深入贯彻新发展理念，以铸牢中华民族共同体意识为主线，以先行区建设为牵引，着力实现“四个新突破”。。会议指出，要在“大力发展特色优势产业”上实现新突破，坚持稳中求进工作总基调，加快构建“六新六特六优+N”产业体系，着力打造国家重要产业基地，在融入和服务新发展格局中增创发展新优势。要在“积极谋划和推进新一轮全面深化改革”上实现新突破，聚焦国资国企、营商环境、资源环境、内陆开放等重点领域，积极探索具有宁夏本地特色的改革，不断增强发展动力和活力。要在“扎实推进各族人民共同富裕”上实现新突破，坚持以人民为中心的发展思想，围绕就业增收、城市更新、乡村振兴、安全生产等重点工作，坚定不移增进民生福祉。要在“推动铸牢中华民族共同体意识走深走实”上实现新突破，全面贯彻新时代党的民族工作大政方针，加快推进铸牢中华民族共同体意识示范区创建，引导各族群众感党恩、听党话、跟党走，形成强国建设、民族复兴的强大合力。。会议强调，政府党组要以习近平总书记考察宁夏为新起点，以高质量开展党纪学习教育为保障，牢记嘱托、实干担当，奋力写好现代化建设宁夏篇章。（记者 朱立杨）,不属于政府领导到其他城市考察学习的新闻,0.8200106329395774
宁夏回族自治区,宁夏经贸合作考察团在山东考察洽谈对接项目,2018-10-24,10月22日至23日，宁夏回族自治区党委副书记、自治区主席咸辉带领自治区经贸合作考察团，首站来到山东省学习考察践行新发展理念、推动高质量发展的先进经验，参观考察部分重点企业和工业园区，洽谈签约招商引资项目，共话宁鲁友谊，共商经贸合作，共谋发展机遇。22日下午，山东省委书记、省人大常委会主任刘家义，山东省委副书记、省长龚正会见咸辉一行。。刘家义、龚正对宁夏经贸合作考察团一行到山东考察表示欢迎。刘家义说，近年来宁夏深入贯彻落实习近平新时代中国特色社会主义思想，推动经济社会发展取得新成就。山东与宁夏虽然远隔千山万水，但交流合作十分密切，希望两省区相互学习借鉴，不断深化交流合作，加强优势互补互融，携手共创合作共赢的美好未来。。咸辉首先转达自治区党委书记、人大常委会主任石泰峰的问候，并感谢山东省长期以来对宁夏经济社会发展的大力支持，表示要深入学习借鉴山东创新发展、持续发展、领先发展的好经验、好做法。咸辉说，两省区虽相隔千里，但情谊深厚，希望进一步加强经贸、旅游、开放等领域合作，建立更紧密的交流合作机制，实现更广领域、更深层次、更高水平的互利共赢。。在山东期间，考察团一路走、一路看、一路学习，深度对标、看齐先进、寻找差距，山东省产业发展的良好态势、创新驱动的勃勃生机给考察团留下了深刻印象。在烟台市考察泰和新材、万华实业、张裕集团时，咸辉说，创新是企业的灵魂，要借鉴创新引领发展的先进经验，推动宁夏经济转型升级、提质增效。在济南市考察团参观了浪潮集团、水发集团，在浪潮高端服务器智能生产基地，咸辉说，要加强与行业领先企业的交流对接，深化在“互联网+”、云计算、智慧城市建设等方面的合作，着力在提升发展水平上下功夫。每到一处，考察团成员都认真思考、深入交流、积极推介，寻求深度合作的新机遇。。在23日上午举行的宁夏-山东经贸合作暨企业家交流座谈会上，来自山东重工、山东能源、润丰集团、山东航空等200余家企业负责人应邀参会，考察团与企业家代表深入互动交流，详细推介宁夏在基础设施、产业发展、营商环境等方面的优势，诚挚邀请山东企业家到宁夏参观考察、洽谈投资。会上，集中签订了先进制造、精细化工、节能环保等领域招商引资合作项目11个，计划总投资85.47亿元。。自治区领导张超超、王和山参加考察活动。山东省领导王清宪、孙继业、于杰分别参加会见或考察活动。（记者 李东梅）,政府领导到其他城市考察学习或访问,0.8084748919078435
宁夏回族自治区,宁夏经贸合作考察团在天津考察洽谈对接项目,2018-10-25,10月23日下午至24日，宁夏回族自治区党委副书记、自治区主席咸辉带领自治区经贸合作考察团来到天津市，考察学习天津在推动新旧动能转换、建设自由贸易试验区等方面的新举措新经验，并与天津市政府签署“宁电入津”框架协议，参观考察企业，洽谈对接项目，探索密切经贸合作、深化津宁友谊的路径举措。天津市委副书记、市长张国清会见咸辉一行并全程陪同考察。。23日下午，张国清在会见时说，宁夏历史悠久、资源丰富，素有“塞上江南”美誉。津宁两地经贸往来密切，合作成果丰硕。当前，天津全力落实京津冀协同发展战略，深度融入“一带一路”建设，着力改善生态环境，推进高质量发展。希望双方进一步发挥优势，不断深化多领域务实合作。诚挚邀请客人明年来津参加第三届世界智能大会。。咸辉对天津市长期以来对宁夏发展的支持表示感谢。咸辉说，天津市是我国经济最具活力的地区之一。宁津两地交流合作基础良好、成果丰硕。希望充分借鉴天津改革开放、产业发展、金融创新等典型经验，加强两地在对外开放、产业转移、社会事业、生态建设等方面的交流合作，推动产业转型和高质量发展，实现两地携手共进、互利共赢。。会见结束后，张国清、咸辉见证自治区政府与天津市政府“宁电入津”框架协议签约仪式。根据协议，计划2018-2022年每年完成增供交易电量10亿千瓦时，进一步促进消纳宁夏电力、满足天津用电需求。。24日上午，考察团一行进企业、看车间、谈项目、话合作，切身感受到天津推动产业结构向高端高质高新迈进的巨大成就和务实举措。在考察天津中环电子公司时，咸辉说，天津的发展速度、创新活力和成功经验值得深入学习，要借鉴先进经验，推动宁夏经济向产业链、价值链的中高端迈进。在天津力神电池、天地伟业公司，考察团成员详细了解企业在创新发展、科技研发等情况。咸辉说，要学习天津企业敢为人先的创新意识和精益求精的工匠精神，通过取经学艺更新观念，找准选好推动经济高质量发展的新路子。。当天下午举行的宁夏-天津经贸合作暨企业家交流座谈会上，来自天津纺织、百利机械、锦峰集团等重点企业的110余位企业家代表应邀参会，考察团成员与企业家们热烈交流，详细介绍宁夏的投资政策、资源优势、物流成本等，寻找创富商机，凝聚合作共识。会上，集中签订了合作协议1个、合作项目7个、涉及循环经济、精细化工、食品加工等领域，总投资41.2亿元。,政府领导到其他城市考察学习或访问,0.8664332684080615
宁夏回族自治区,隆德县三举措绘制招商引资新画卷,2018-12-03,近日，隆德县赴广西、广东、重庆等地围绕农业综合开发、“2+1”品牌招商引资，小分队先后实地考察10家企业（集团）及园区，学习取经，与企业座谈交流，对接与隆德县支柱产业密切相关的项目，成效显著。广西有4家企业计划本月24日来隆考察，对接项目；广东4家企业表示近期内将组团来隆实地进一步考察，洽谈具体投资事宜；重庆3家企业计划近期内将来隆实地进一步考察，寻找双方合作点。。研究减轻企业税费负担、解决民营企业融资难融资贵问题、营造公平竞争环境、完善政策执行方式、构建亲清新型政商关系、保护企业家人身和财产安全等6各方面的具体政策举措。组织税收、市监、工业等审批部门外出学习服商环境，同时组织实体企业外出学习先进理念。。聚焦我县特色产业精准招商，着力分析东南沿海地区产业转移的重点领域，锁定有转移意向和合作意向的重点目标企业，落实项目前期委托机制，切实解决好用地、用电、用水、污水处理等要素保障问题，统筹做好项目规划、土地、林评、环评等前期手续办理工作，不断创优营商环境，出台阶段性相关扶持政策，在全县形成重商、亲商、爱商的浓厚氛围。。要建立健全项目联系人制度，对这次招商考察活动中走访的每个重点企业都要实行专人进行联络，邀请他们早日来隆德考察。各相关单位要积极对接，争取早日签订合作协议，推动项目落地建设。,其他,0.5891769829647737
宁夏回族自治区,自治区党委召开全区学习宣传贯彻总书记考察宁夏重要讲话精神领导干部大会梁言顺主持并讲话张雨浦陈雍庄严出席,2024-06-22,自治区党委召开全区学习宣传贯彻<br>总书记考察宁夏重要讲话精神领导干部大会<br>梁言顺主持并讲话 张雨浦陈雍庄严出席- 宁夏。自治区党委召开全区学习宣传贯彻 总书记考察宁夏重要讲话精神领导干部大会 梁言顺主持并讲话 张雨浦陈雍庄严出席。6月22日下午，自治区党委召开全区领导干部大会，传达学习习近平总书记考察宁夏重要讲话精神，对全区学习宣传贯彻工作作出安排部署。自治区党委书记、人大常委会主任梁言顺主持会议并讲话，强调总书记考察宁夏意义重大、影响深远，发表的重要讲话是指引现代化美丽新宁夏建设的根本遵循和行动指南，全区上下要坚定拥护“两个确立”、坚决做到“两个维护”，坚定自觉用总书记重要讲话精神统一思想、统一意志、统一行动，扛起政治责任、主动担当作为，迅速掀起学习宣传贯彻热潮，推动总书记重要讲话精神在宁夏落地生根、开花结果。。自治区党委副书记、自治区主席张雨浦，自治区政协主席陈雍，自治区党委副书记庄严出席。自治区在职和现职副省军级以上领导同志参加。。梁言顺指出，在新中国成立75周年、西部大开发战略实施25周年、黄河流域生态保护和高质量发展战略提出5周年的重要历史节点，总书记再次亲临宁夏考察指导并发表重要讲话，为宁夏各项事业发展指路领航，充分体现了总书记对宁夏大地念兹在兹的倾情牵挂、对宁夏人民情深似海的关心关怀、对宁夏发展一以贯之的高度重视。全区上下要充分认识总书记考察宁夏的重大意义，深刻体会总书记对宁夏人民的如山厚爱、特殊关怀，把总书记对宁夏工作的肯定作为激励和鞭策走好新时代长征路的动力，把总书记明确新征程宁夏发展的目标任务作为引领现代化美丽新宁夏建设的总遵循、总纲领、总指针，以总书记对党纪学习教育和加强党风廉政建设的新要求激励广大党员干部锐意进取、积极作为，加快建设经济繁荣、民族团结、环境优美、人民富裕的美丽新宁夏，把总书记擘画的宏伟蓝图变成美好现实，在中国式现代化建设中谱写宁夏篇章、展现宁夏担当。。梁言顺强调，当前和今后一个时期，全区上下要把学习好、宣传好、贯彻好总书记重要讲话精神作为头等大事和首要政治任务，在学习领会上下真功，通过党委（党组）专题学习、理论中心组集体学习等多种形式，认真学习原文，一字一句研读，吃透精神要义、领悟实践要求，持续深学细悟，做到入脑入心。要在宣讲培训上有深度，统筹用好传统媒体和新媒体、线上和线下宣传等形式，开展全景式、高频次、立体化的深度报道，精心组织宣讲，分层级、分批次对党员干部集中轮训，确保总书记重要讲话精神传递到每一名党员干部群众心中。要在一体贯彻上见实效，将总书记这次考察重要讲话与习近平新时代中国特色社会主义思想特别是党的十八大以来总书记关于宁夏工作的重要讲话指示批示精神结合起来，对照新任务新要求逐项梳理，拿出具体贯彻落实举措，制定分工方案，建立落实台账，用好“三察（查）一体”和“四防”常态化督查机制，定期盘点对账，以钉钉子精神推动总书记重要讲话精神走深走实。。会议以视频形式召开，自治区设主会场，各市县区和宁东基地、自治区党校（行政学院）设分会场。（记者 马晓芳 姜璐）,不属于政府领导到其他城市考察学习的新闻,0.5602664315756148
宁夏回族自治区,西藏考察团来宁考察座谈会在银举行,2016-08-26,在昨天召开的座谈会上，丁业现对我区脱贫攻坚工作取得的成绩给予高度赞扬。丁业现说，通过对宁夏的考察，我们深切感受到宁夏蓬勃发展的精神状态和改革创新的生动实践，我们将认真学习借鉴宁夏在脱贫攻坚和东西部对口扶贫协作中的好经验、好做法，助推西藏经济社会又好又快发展。。李锐主持座谈时指出，西藏和宁夏同属西部地区、民族地区，我们将以此次考察为契机，把东西部扶贫协作座谈会和习近平总书记重要讲话精神，转化为推动西藏和宁夏经济社会发展的具体实践，共同实现总书记提出的经济繁荣、民族团结、环境优美、人民富裕和全面建成小康社会的目标。。西藏自治区人大常委会副主任维色、政协副主席索朗仁增，自治区人大常委会副主任王儒贵、政协副主席张乐琴出席座谈会。,政府领导到其他城市考察学习或访问,0.0
