province,topic,date,content,label,score
河北省,广东省党政代表团到河北省考察,2024-06-26,座谈中，黄坤明代表广东省委、省政府和代表团感谢河北热情周到的接待、贴心细致的安排以及长期以来给予广东工作的大力支持，并简要介绍了广东经济社会发展情况。他说，河北地处京畿要地，在全国发展大局中地位重要。近年来，河北省委、省政府认真学习贯彻习近平总书记视察河北重要讲话精神，深度融入京津冀协同发展，高标准高质量建设雄安新区，推动建设经济强省、美丽河北迈出坚实步伐。设立雄安新区，是习近平总书记亲自谋划、亲自部署、亲自推动的重大国家战略。这次在雄安新区一路走一路看，亲眼目睹一座高水平现代化城市正在拔节生长，呈现出欣欣向荣的发展景象，由衷感佩总书记、党中央的伟大创举和英明决策，更加深切体会到这一千年大计、国家大事对于现代化建设全局的重大而深远的意义。我们对新时代河北改革发展取得的新成就和雄安新区建设取得的重大进展表示祝贺。当前，广东正深入学习贯彻习近平总书记视察广东重要讲话精神，聚焦落实总书记赋予的使命任务，奋力在推进中国式现代化建设中走在前列。我们要认真学习河北和雄安新区创造性落实重大国家战略的政治担当、坚持创新驱动产城融合加快高质量发展的方法路径、高标准高要求开展城市规划建设的经验智慧、坚持生态优先推进绿色转型的韧劲毅力，进一步把广东各项工作谋深做实，更好推进中国式现代化的广东实践。今年是京津冀协同发展战略实施10周年、粤港澳大湾区发展规划纲要公开发布5周年，希望两省立足新起点，以促进京津冀协同发展和粤港澳大湾区建设联动为牵引，聚焦产业科技、城市规划建设、改革开放、文化发展和社会民生等领域开展更深层次、更高水平的合作，积极推动技术联合攻关、企业双向布局、干部人才互动交流，加强雄安新区与横琴、前海、南沙、河套等重大平台的互学互鉴，实现优势互补、协同并进，更好服务强国建设、民族复兴大局。。倪岳峰代表河北省委、省政府，向广东省党政代表团表示热烈欢迎。他说，广东是改革开放的排头兵、先行地、实验区，在中国式现代化建设的大局中地位重要、作用突出。近年来，广东省委、省政府坚决贯彻习近平总书记视察广东重要讲话精神，围绕高质量发展这个首要任务和构建新发展格局这个战略任务，在全面深化改革、扩大高水平对外开放、提升科技自立自强能力、建设现代化产业体系、促进城乡区域协调发展等方面，奋力开拓，攻坚克难，广东各项事业取得新进步，广东现代化建设展现新气象。广东省委、省政府大力支持雄安新区规划建设，向新区选派了一大批优秀干部和各类人才，在科技创新、城市管理、生态建设等方面提供了宝贵经验，为雄安新区拔节生长作出了重要贡献。我们将以广东省党政代表团此次考察为契机，认真学习借鉴广东先进经验，进一步深化两省务实合作，扎实推进高质量发展。我们要认真学习广东推进粤港澳大湾区建设的宝贵经验，携手落实重大国家战略，推动京津冀协同发展向广度深度拓展。我们要认真学习广东以科技创新引领产业创新的宝贵经验，深入实施创新驱动发展战略，大力培养引进高端人才和创新团队，加快科技成果孵化、转化、产业化，努力改造提升传统产业，培育壮大战略性新兴产业，布局建设未来产业，加快培育和发展新质生产力。我们要认真学习广州、深圳等市建设发展的宝贵经验，不断解放思想、奋发进取，加强城市建设管理，精心办好民生实事，持续改善生态环境，高标准高质量建设雄安新区，构筑新时代宜业宜居的“人民之城”。。在我省期间，广东省党政代表团来到雄安新区，参观考察雄安规划展示中心、中国星网总部大楼、东西轴线雄安城际站调度指挥中心、白洋淀燕南堤，并看望了参与雄安新区建设的广东干部和企业家代表。,政府领导到其他城市考察学习或访问,0.0
河北省,市委常委会扩大会议召开深入学习贯彻习近平总书记重要讲话精神扎实做好防汛抗旱抢险救灾各项工作,2024-06-24,市委常委会（扩大）会议召开 深入学习贯彻习近平总书记重要讲话精神 扎实做好防汛抗旱抢险救灾各项工作。6月21日，市委常委会（扩大）会议召开，认真传达学习习近平总书记对防汛抗旱工作作出的重要指示精神和在青海考察时的重要讲话精神，研究我市贯彻落实意见。市委书记党晓龙主持并讲话。。会议强调，要深入学习贯彻习近平总书记重要讲话精神，强化“防大汛、抗大洪、抢大险、救大灾”的底线思维，扎实做好防汛抗旱、抢险救灾各项工作。要锚定“7+20+N”和县域“2+1”产业定位，加快培育新质生产力。要突出农民增收这个重点，打造宜居宜业和美乡村。要真抓实学、善始善终，扎实开展党纪学习教育，不断推动现代化品质生活之城建设向前迈进。。会议传达学习中共中央政治局委员、国务院副总理刘国中在河北调研时的讲话精神，强调要克服高温干旱影响，科学调度抗旱水源，抓好农业抗旱技术服务，全面提高农业防灾减灾救灾能力，夯实秋粮丰收基础。。会议传达学习省委书记倪岳峰在保调研时的讲话精神，强调要持续强化责任感紧迫感，知责尽责、履职担当；持续抓好重点水利工程，聚焦国债支持的重点水利项目，加强全过程监管，确保所有工程按时高标准完成，最大限度发挥防洪效益；落实预警、预报、预演、预案等措施，备足防汛物资，全面抓好防汛各项工作，确保安全度汛，确保人民群众生命财产安全。,其他,0.5859709819226396
河北省,武卫东赴迁安市调研检查,2024-06-25,6月24日，市委书记武卫东赴迁安市调研检查。他强调，要深入学习贯彻习近平总书记在青海、宁夏考察时的重要讲话精神和对防汛抗旱工作作出的重要指示精神，巩固拓展主题教育成果，高标准高质量开展党纪学习教育，纵深推进全面从严治党，以风清气正的政治生态引领形成正气充盈的社会生态。。武卫东一行考察了迁安市博康颐养中心、燕山湖乡村振兴综合体项目、石梯子沟村史明星纪念馆、九江赛车、工业尾矿综合利用生产生态建筑材料生产线项目、燕阳冷轧高端板材项目， 到大崔庄镇楼子山村检查党纪学习教育、防汛避险工作，采取“四不两直”方式检查矿山管理工作。他强调，要因地制宜发展新质生产力，扎实推动大规模设备更新和消费品以旧换新，加快建设重点行业共享工厂，发展钢铁服务业，推动创新链产业链资金链人才链深度融合。要推进乡村全面振兴，深化城乡“手拉手”，发挥乡村振兴公司作用，发展认养农业、精品民宿，推动文旅深度融合发展，促进村集体和村民稳定“双增收”。要认真践行“两个坚持、三个转变”，强化底线思维和极限思维，完善防汛避险转移预案和应急预案，加快推进“以河代库”等工程建设，保障人民群众生命财产安全。要完善医养康养相结合的养老服务体系，保障特殊困难老年人基本养老服务需求，持续提升“一老一小”服务保障水平。要把党纪学习教育抓紧抓实、抓出成效，推动党员干部认真学习党纪党规，在遵规守纪前提下，安心工作、放手干事，锐意进取、积极作为，持续营造风清气正的政治生态。。武卫东来到迁安市人民法院大崔庄人民法庭，了解有关情况并召开座谈会。会议强调，要践行新时代“枫桥经验”“浦江经验”，落实乡镇（街道）信访联席会议工作机制，完善基层网格服务管理体系，做到未发先解、未诉先调、未访先办。要扎实开展“聚焦政治生态突出问题立行立改整治提升”工作，深入推进政法队伍整治提升，全力促进司法公正、维护社会公平正义。,政府领导到其他城市考察学习或访问,0.591545356254809
河北省,刘媛主持召开市政府常务会议深入学习贯彻习近平总书记重要讲话精神研究安全生产城市自体检暴雨灾害防御等工作,2024-06-26,刘媛主持召开市政府常务会议 深入学习贯彻习近平总书记重要讲话精神 研究安全生产、城市自体检、暴雨灾害防御等工作。6月25日，市长刘媛主持召开市政府常务会议，传达习近平总书记在青海考察时的重要讲话精神、习近平总书记对防汛抗旱工作作出的重要指示精神、习近平总书记致黄埔军校建校100周年暨黄埔军校同学会成立40周年贺信精神，研究安全生产、城市自体检、暴雨灾害防御等工作。。会议指出，要深入学习习近平总书记近期重要讲话和重要指示精神，统筹做好稳增长、促协同、调结构、惠民生、防风险、保稳定等各项工作，深挖潜力点、做强增长点，确保“双过半”。要密切关注天气形势，全面开展隐患排查，强化应急准备，严格值班值守，全力确保安全度汛。要深入开展党纪学习教育，深入整治群众身边不正之风和腐败问题，持续巩固风清气正的政治生态。。会议学习解读了《河北省安全生产条例》，强调要狠抓学习教育，完善配套制度，全面夯实安全生产基础。要强化日常监管，深入开展安全生产治本攻坚三年行动，抓好重点行业领域隐患排查整治工作，坚决守牢安全生产这条底线红线。。会议研究审议了《2023年廊坊市城市自体检报告（简本）》，强调要切实把城市体检工作摆上突出位置，切实抓好城市体检的结果运用，建立完善重点项目库和专项整治项目库，积极研究和争取政策，统筹推进城市更新工作。。会议研究审议了《廊坊暴雨灾害防御办法》，强调要加强教育培训，抓实重点任务，加强信息发布传播，及时落实各项应急措施，牢固树立“一盘棋”思想，加强信息共享、密切联系沟通，全力守护好广大群众的生命财产安全。。会议研究审议了《廊坊市养老机构管理条例（草案）》，强调要做好养老机构全周期服务工作，逐步建立起科学高效的养老机构管理体系，不断提升我市养老机构管理工作法治化、规范化、标准化水平。要加强政策解读和宣传推广，提高受众覆盖面和可及性，确保《条例》有效落实。。会议研究审议了《廊坊市快递市场管理条例（草案）》，强调要谋划政策配套，确保《条例》尽快落地实施。要强化数智赋能，加快推进快递设施智能化升级改造。要提升服务质效，强化从业人员培训，不断提升全市快递行业规范化水平。,其他,0.8126354805798123
河北省,以前所未有的力度开辟事业发展新天地习近平总书记带领全党全军全国各族人民全面深化改革扩大开放纪实,2024-06-25,以前所未有的力度开辟事业发展新天地——习近平总书记带领全党全军全国各族人民全面深化改革扩大开放纪实。新华社北京6月25日电题：以前所未有的力度开辟事业发展新天地——习近平总书记带领全党全军全国各族人民全面深化改革扩大开放纪实。党的十八大以来，习近平总书记以伟大的历史主动精神、巨大的政治勇气、强烈的责任担当，掌舵领航、力担千钧，在新的历史关头作出全面深化改革的重大战略决策，带领全党全军全国各族人民以前所未有的力度开辟事业发展新天地。。这是具有划时代意义的关键一招，更是一场关系党和国家前途命运和事业兴衰成败的伟大革命。。2012年12月，上任伊始，习近平总书记首次赴地方考察，就前往改革开放“得风气之先”的广东，第一站来到前海。。如今，一片泥泞滩涂上崛起的新一轮改革开放“桥头堡”——深圳前海，与蛇口仅仅一山之隔。。两座地标，两次见证。踏上新征程，新时代改革引领者胸有丘壑、眼存山河，擘画着中华民族的崭新前景。。正是在那次考察中，习近平总书记抚今追昔，指明“改革开放是决定当代中国命运的关键一招”，发出了新时代“改革不停顿、开放不止步”的动员令。。审视国内，历经数十年高速增长，“成长的烦恼”逐步浮出水面，人民对美好生活的需要呈现多样化多层次多方面特点，发展不平衡不充分问题愈发凸显。。放眼全球，世界面临百年未有之大变局，新一轮科技和产业革命方兴未艾，贸易保护主义与“逆全球化”思潮抬头，走近世界舞台中央的中国面临更多挑战。。关键时刻，习近平总书记深刻把握我国发展新的历史方位、深邃洞察新的使命任务，将改革开放伟大旗帜高高举起：。回答“要不要改”的疑虑，阐明“没有改革开放，就没有中国的今天，也就没有中国的明天。改革开放中的矛盾只能用改革开放的办法来解决”；。针对“往哪儿改”的困惑，指出“在方向问题上，我们头脑必须十分清醒，不断推动社会主义制度自我完善和发展，坚定不移走中国特色社会主义道路”；。破解“怎么改”的难题，强调“胆子要大、步子要稳”，“既勇于冲破思想观念的障碍，又勇于突破利益固化的藩篱”。。会议审议通过了习近平总书记亲自主持起草的《中共中央关于全面深化改革若干重大问题的决定》，绘就全面深化改革的宏伟蓝图。。这份约两万字的决定中，16个部分、60项具体任务、336项改革举措涵盖方方面面，全面深化改革的战略重点、优先顺序、主攻方向、工作机制、推进方式和时间表、路线图布局宏阔、清晰醒目。。消息甫一披露，外媒感叹：“自中国1978年改革开放之后，中共第一次做出范围如此之广、内容如此具体及有抱负的改革计划。”。1978年党的十一届三中全会，开启了第一次划时代的改革，推动了经济社会持续快速发展，中国大踏步赶上了时代。。2013年党的十八届三中全会，推动了又一次划时代的改革，开启了全面深化改革、系统整体设计推进改革的新时代。。锚定全面深化改革总目标，全会通过的《中共中央关于坚持和完善中国特色社会主义制度、推进国家治理体系和治理能力现代化若干重大问题的决定》，擘画了新时代推进国家制度和治理体系建设的宏伟蓝图。。以坚持和完善中国特色社会主义制度、推进国家治理体系和治理能力现代化为主轴，突出制度建设这条主线，正是全面深化改革的鲜明特点。。党的十八届四中全会提出了190项对依法治国具有重要意义的改革举措，全面推进依法治国的决定与全面深化改革的决定，形成了“姊妹篇”；。党的十九届三中全会审议通过深化党和国家机构改革的决定和方案，改革开放以来最大规模的机构改革拉开帷幕；。会上，总书记同大家一道审议了《关于完善中国特色现代企业制度的意见》等多份改革方案。,不属于政府领导到其他城市考察学习的新闻,0.6739478592006299
河北省,武卫东赴迁西县调研检查,2024-06-24,6月23日，市委书记武卫东赴迁西县调研检查。他强调，要深入学习贯彻习近平总书记重要指示精神，坚决贯彻党中央决策部署、省市委工作安排，巩固拓展主题教育成果，抓紧抓实党纪学习教育，以学纪知纪明纪促进遵纪守纪执纪，为高质量发展营造良好政治生态。。武卫东来到迁西县人民法院、尹庄乡司法所，了解有关情况并召开座谈会。会议强调，要扎实开展“聚焦政治生态突出问题立行立改整治提升”工作，深入推进政法队伍整治提升，加强警示教育，树牢类案思维，强化以案释纪，健全完善权力运行内控机制，努力让人民群众在每一个司法案件中感受到公平正义。要走好新时代党的群众路线，践行新时代“枫桥经验”“浦江经验”，大力推进政法干警嵌入网格，完善人民调解、司法调解、行政调解衔接配合工作体系，推动12345政务服务便民热线与基层网格体系高效协同，用好“信法纪”衔接平台和志愿服务积分奖励回馈系统，做到未发先解、未诉先调、未访先办。。随后，武卫东考察了尹庄乡磨石庵村、粒上皇河北迁西生产基地项目和迁西县人民医院康养项目，到滦水湾橡胶坝检查防汛抗旱工作情况，并采取“四不两直”方式到东荒峪镇西荒峪村暗访检查、入户走访。他强调，要扎实推进乡村全面振兴，深化城乡“手拉手”，强化文旅赋能，建好用好乡村振兴公司，大力发展认养农业和精品民宿、“村房短住”模式，推动村集体和村民稳定“双增收”。要从严从实抓好防汛抗旱工作，细化防汛避险转移预案和应急预案，加快实施“以河代库”工程，全力保障人民群众生命财产安全。要持续增进民生福祉，深化医疗援助体系、“惠唐保”、农村（社区）公共食堂等惠民措施，抓好医养结合、协同康养，推动县乡村诊疗一体化管理，让人民群众生活得更幸福更美好。要纵深推进全面从严治党，牢记“三个务必”，坚持党性党风党纪一起抓、正风肃纪反腐相贯通，提振精气神、提高执行力，以风清气正的政治生态引领形成正气充盈的社会生态。,政府领导到其他城市考察学习或访问,0.7389855468895329
河北省,向着科技强国不断前进以习近平同志为核心的党中央引领科技创新发展纪实,2024-06-23,新华社北京6月23日电题：向着科技强国不断前进——以习近平同志为核心的党中央引领科技创新发展纪实。“立足新发展阶段、贯彻新发展理念、构建新发展格局、推动高质量发展，必须深入实施科教兴国战略、人才强国战略、创新驱动发展战略，完善国家创新体系，加快建设科技强国，实现高水平科技自立自强。”。党的十八大以来，以习近平同志为核心的党中央审时度势、高瞻远瞩，坚持把科技创新摆在国家发展全局的核心位置，就科技创新提出一系列新论断、新要求，对建设科技强国进行全局谋划和系统部署，推动我国科技事业发生历史性变革、取得历史性成就，为全面建成社会主义现代化强国、实现中华民族伟大复兴奠定更加坚实的基础。。站在我国和世界发展的历史新方位，统筹把握中华民族伟大复兴战略全局和世界百年未有之大变局，以习近平同志为核心的党中央创造性运用马克思主义立场观点方法，对我国科技发展的实践经验和理论方法进行系统总结，开辟了马克思主义科技学说的新境界，开辟了坚持走中国特色自主创新道路的新境界，开辟了新时代创新发展的新境界。蓝天梦、创新药、智能造、未来车……上海张江科学城未来公园，前来参观上海科技创新成果展的人络绎不绝。。2023年11月，习近平总书记来到这里，细致看完每个展位，有感而发：“上海取得的这些科技创新成果，让我感到很踏实，有了更大的信心、更足的底气。”。从一颗螺丝钉也要进口到大国重器彰显创新底气，科学技术从来没有像今天这样推动国家进步、造福人民生活。。我国用几十年的时间走完了西方发达国家几百年走过的工业化历程，建成全球最完整、规模最大的研发体系和工业体系，进入创新型国家行列，生产力水平和科技创新能力大幅提升。。百年未有之大变局加速演进，全球科技创新风起云涌，为人类社会带来深刻变革和重大影响，新一轮科技革命和产业变革正在重构全球创新版图、重塑全球经济结构。。站在新的历史起点，习近平总书记深刻揭示国家兴衰的“历史逻辑”，提出“科技兴则民族兴，科技强则国家强”“抓创新就是抓发展，谋创新就是谋未来”。。明确“创新是引领发展的第一动力，是建设现代化经济体系的战略支撑”，强调创新在我国现代化建设全局中的核心地位，提出到2035年实现高水平科技自立自强，进入创新型国家前列，建成科技强国……。在北京航天飞行控制中心，工作人员监测嫦娥六号着陆器和上升器组合体工作情况（2024年6月2日摄）。新华社记者 金立旺 摄。以习近平同志为核心的党中央统揽科技事业发展全局，不断拓展新视野、提出新命题、作出新论断，推出一系列奠基之举、长远之策，为建设科技强国指明了前进方向、提供了根本遵循。。科研院所、高校、高新技术企业、高新技术产业开发区……习近平总书记的脚步，一次次踏入创新要素最活跃的地方。。在新年贺词中“点赞”重大科技成就，在贺电回信中致敬科技工作者……习近平总书记心中的“国之大者”，见证中国创新爬坡过坎的拼搏。。“自力更生是中华民族自立于世界民族之林的奋斗基点，自主创新是我们攀登世界科技高峰的必由之路”。。这是在北京航天飞行控制中心拍摄的神舟十六号航天员乘组与神舟十七号航天员乘组“全家福”（2023年10月26日摄）。新华社发（韩启扬 摄）。面对日趋激烈的国际博弈，习近平总书记从应对风险挑战的维度揭示科技创新的“倒逼逻辑”，提出“重大科技创新成果是国之重器、国之利器，必须牢牢掌握在自己手上”；从时代进步的维度揭示经济社会发展的“现实逻辑”，提出“中国要强，中国人民生活要好，必须有强大科技”。。我国北斗三号全球卫星导航系统最后一颗组网卫星在西昌卫星发射中心点火升空（2020年6月23日摄）。新华社记者 江宏景 摄,不属于政府领导到其他城市考察学习的新闻,0.7391929435546304
河北省,发展有机产业共创美好未来国际有机农业联盟有机产业与有机产品市场发展大会暨第七届亚洲有机大会在邯郸开幕,2024-06-20,发展有机产业 共创美好未来 国际有机农业联盟有机产业与有机产品市场 发展大会暨第七届亚洲有机大会在邯郸开幕。华夏芒种时，五洲宾朋聚。6月19日上午，以“发展有机产业 共创美好未来”为主题的国际有机农业联盟有机产业与有机产品市场发展大会暨第七届亚洲有机大会在我市隆重开幕，来自世界27个国家的200多名有机产业领域专家、企业家和国际友人相聚邯郸，共谋以有机产业高质量发展更好造福人类大计。。世界粮食奖基金会主席、美国前驻华大使、艾奥瓦州前州长特里·布兰斯塔德向大会致贺信，国际有机农业联盟主席凯伦·马普苏亚发表视频致辞，国际有机农业亚洲联盟主席马修·约翰、市委书记李晋宇、省农业农村厅厅长刘宝岐出席开幕式并致辞。美国艾奥瓦州有机协会主席玛格丽特·史密斯、国际有机农业亚洲联盟执行主任张惠善、市长樊成华、省人大常委会农业和农村工作委员会主任高一雷、市委副书记徐翀等出席。。特里·布兰斯塔德在信中对本次大会在邯郸举行表示祝贺。他说，河北省与艾奥瓦州建立友好省州关系已经40多年。我多次访问河北，并与企美公司就有机农业在两省州的发展进行深入探讨，很高兴看到企美公司在有机农业发展中取得的成就，希望企美公司为促进两省州发展、增进两省州友谊作出新贡献。。凯伦·马普苏亚在视频致辞中表示，本次大会聚焦有机产业与市场发展，这是十分重要的议题，正是市场推动了有机产业发展，为农民和企业家创造了机会，也为消费者提供了更好选择。发展有机产业对于改善土壤健康、提升生物多样性、增强适应气候变化能力、保护人类健康，具有重要意义。希望大家深入交流、学习分享，共同搭建全球有机产业发展良好平台。。马修·约翰在致辞中感谢邯郸市对本次大会的大力支持。他表示，希望通过本次大会，来自世界各地的专家和企业家分享经验和故事，为建立伙伴关系奠定基础。国际有机农业亚洲联盟希望与更多国家建立联系、抓住机遇、开展合作，更好促进有机产业与有机产品市场发展。。李晋宇代表市委、市政府，向出席大会的各位嘉宾和海内外朋友表示热烈欢迎。他说，邯郸位于北纬36°黄金种植带，四季分明、日照充足，土地肥沃、水源丰沛。8000多年前，早期人类就在这里刀耕火种、采集渔猎，种植粟黍、驯养家鸡，开启了磁山文化新纪元。商周以来，邯郸历代先人在这里修水利、垦良田、建生态、兴农业，三千年一直农业发达、百姓富庶。历史走到今天，邯郸大力发展现代农业，已经成为全国重要的商品粮生产基地、粮食核心产区，是全国最大的面粉加工基地、全国最大的蛋雏鸡孵化基地、华北最大的叶菜生产基地，正向现代农业强市阔步前进。有机农业注重环保和生态平衡，是农业可持续发展的重要模式。近年来，邯郸致力于发展绿色农业、有机农业，建成有机农业生产基地8万余亩，年产有机食品7.3万吨，获得有机食品认证企业44家，认证绿色食品202个、有机产品250个、国家地理标志保护产品11个，特别是企美公司深耕有机农业领域20余年，成为国内屈指可数的“双奥”食材供应企业，邯郸正在努力打造中国有机农业发展的重要地区。我们将以此次大会为契机，深化对外开放，集聚优势要素，加强科技创新，积极探索邯郸有机农业发展的新模式、新路径，为全球有机农业发展作贡献。。刘宝岐表示，多年来，河北立足产业基础，发挥区域特色，以杂粮、水果、食用菌、蔬菜、畜禽、水产为重点，在基地建设、品牌打造、产品认证、过程监管、质量监控方面协同发力，推动有机产业发展取得显著成效，打造了一批知名有机产品，得到了国内外市场一致好评。国际有机农业联盟和亚洲联盟长期致力于搭建有机产业交流平台，为全球有机产业发展作出重要贡献。,政府领导到其他城市考察学习或访问,0.0
河北省,五十六个民族凝聚在一起就是中华民族共同体习近平总书记青海宁夏考察纪实,2024-06-23,新华社西宁/银川6月22日电题：“五十六个民族凝聚在一起就是中华民族共同体”——习近平总书记青海、宁夏考察纪实。题：“五十六个民族凝聚在一起就是中华民族共同体”——习近平总书记青海、宁夏考察纪实。火车在宏阔的黄土高原上疾驰。它穿过山峁，同江河擦肩，驶过沉淀了厚重历史与璀璨文明的黄土地。。在延安出席中央军委政治工作会议之后，习近平总书记马不停蹄来到青海、宁夏。这次来西北，一条“铸牢中华民族共同体意识”的主线，贯穿始终。。“邦畿千里，维民所止。”辽阔的疆域是各民族共同开拓的。此刻，正是在共同开拓、耕耘、奋斗的土地上，去思考民族关系、民族工作，去探寻中华民族追求团结统一、矢志伟大复兴的内生动力。。今年是新中国成立75周年。75年来，我国民族团结进步事业接续发展。五十六个民族如何在多元中铸就一体、在一体中百花齐放？调研，给出了答案。。下个月，进一步全面深化改革大幕将启。如何为推进中国式现代化进一步凝聚民族团结进步的力量？调研，给出了指引。。青海和宁夏同属西部。就在两个月前，新时代推动西部大开发座谈会召开。在中国式现代化建设中奋力谱写西部大开发新篇章，调研进一步指明了方向。。学校、古刹、社区，察情、问计、明理，习近平总书记感慨：“五十六个民族，无论是这个民族还是那个民族，我们都是同一个大家庭，中华民族大家庭。要把中华民族共同体建设好。团结在一起，像石榴籽一样紧紧抱在一起。”。果洛，地处青海东南部，海拔高、气候恶劣、环境艰苦。上海投资，为果洛在西宁援建了一所寄宿制中学。。从1996年东西部扶贫协作拉开帷幕，到新时代升级为东西部协作；从给钱给物，到多层次、多形式、全方位的协作格局，资金流、资源流、技术流、人才流向西部奔涌。就拿青海来说，“党中央部署北京等6省市、清华大学等23所高校对口援青，其中教育援青实现了各学段、各地区、人才资金项目全覆盖”。。习近平总书记是亲历者、推动者。就在前不久，总书记还给四川省南充市之江小学学生写了回信，那正是他在浙江工作时关心推动的对口帮扶学校。。果洛西宁民族中学的校长常途来自上海。食堂、宿舍、教室，学生构成、课程设置、体育锻炼，他将这里的情况详细介绍给总书记。。听了介绍，总书记叮嘱道：“孩子们正是长身体的时候。一定要注意饮食卫生。首先是原料采购，一定要是合格的、没有问题、安全的。然后储藏的过程、制作的过程都要注意卫生。在这个基础上饭菜可口，让孩子们吃得营养健康。”。宿舍窗明几净，房间里还有洗手间。隔壁盥洗室内，洗衣机、吹风机也一应俱全。总书记关切地问：“冬天都有热水吗？”。教学楼内书声琅琅。走廊上挂着书法作品，笔墨或遒劲或娟秀，有的略显稚嫩。总书记放慢了脚步端详。。高一（1）班的孩子正上思政课，主题是“新时代、新家乡”。小德川流，大德敦化。国家观、民族观，要从第一颗扣子扣起。。“我的家乡在果洛州班玛县。”起身说话的女孩名叫尼东拉毛。她举起一幅画作，云端下如诗如画，“以前去放牧的时候要紧跟在牛群后面，牛丢了要满山去找。从骑马放牧，到后来骑摩托车放牧，再到现在有的人家用上了无人机放牧，我的家乡更现代化了。”。“家里这些电器都有吧？”习近平总书记指着画作问。“有！洗衣机、电视机，样样齐全。”。总书记亲切地说：“从牧区来到这里，生活习惯会有一些改变，但你们的人生会有更多的机会。”。高个头的男孩杨顶站起身来：“习爷爷好，我的家乡是果洛州久治县。以前因为交通运输条件差、冷藏技术差，牛羊肉不容易保存。现在，日子大变样……”。把目光望向历史，能更深切感受到新中国成立以来天翻地覆的改变。“思政课讲近代史吗？”总书记询问。,不属于政府领导到其他城市考察学习的新闻,0.5653191393588723
河北省,河北省委常委会召开扩大会议,2024-06-22,河北新闻网6月21日讯（河北日报记者四建磊）今天，省委常委会召开扩大会议，传达学习习近平总书记在青海考察时的重要讲话精神、习近平总书记对防汛抗旱工作作出的重要指示精神、习近平总书记致黄埔军校建校100周年暨黄埔军校同学会成立40周年贺信精神，研究我省贯彻落实意见。省委书记倪岳峰主持并讲话。。会议指出，习近平总书记在青海考察时的重要讲话，思想深邃，内涵丰富，为我们做好工作提供了科学指引。要紧密结合河北实际，不折不扣抓好贯彻落实。要完整、准确、全面贯彻新发展理念，抓住用好京津冀协同发展和雄安新区建设宝贵机遇，推动科技创新和产业创新深度融合，携手京津打造6条重点产业链，积极承接在京央企总部及二、三级子公司或创新业务板块等，加快培育新质生产力。要始终坚持生态优先、绿色发展，坚决巩固重点城市空气质量“退后十”成果，统筹山水林田湖草沙一体化保护和系统治理，促进经济社会发展全面绿色转型。要着力保障和改善民生，巩固拓展脱贫攻坚成果，全面推进乡村振兴，深入排查整治安全生产风险隐患。要广泛开展民族团结进步创建工作，铸牢中华民族共同体意识，坚持我国宗教中国化方向，巩固宗教和顺、社会和谐、民族和睦的良好局面。要扎实开展党纪学习教育，坚持党性党风党纪一起抓、正风肃纪反腐相贯通，持续深化整治形式主义为基层减负，进一步优化净化政治生态。。会议强调，习近平总书记对防汛抗旱工作作出的重要指示，为我们做好工作提供了根本遵循。全省各地各部门要坚持以习近平总书记重要指示精神统一思想行动，全力以赴做好防大汛、抗大旱、抢大险、救大灾各项准备，以实际行动和成效忠诚捍卫“两个确立”、坚决做到“两个维护”。要强化监测预警，加强部门信息共享、会商研判，严格落实临灾预警“叫应”机制，第一时间把雨情汛情传达到基层。要聚焦各类水库、堤防、山洪灾害易发区、旅游景区等重点区域，全面排查风险隐患，备齐备足装备物资，遇有险情及时组织群众转移避险。要坚决有力应对旱情，全面抓好农业抗旱，切实保障供水安全，扎实做好森林草原防灭火工作。要强化组织领导，压实责任、加强统筹，凝聚形成防汛抗旱强大合力，切实保障人民群众生命财产安全和社会大局稳定。。会议指出，要深入学习贯彻习近平总书记致黄埔军校建校100周年暨黄埔军校同学会成立40周年贺信精神，强化思想引领和组织建设，进一步发挥黄埔军校同学会作用，为同心共圆中国梦广泛凝心聚力。要加强党的领导，为做好黄埔军校同学会工作提供有力保障。,其他,0.6033003466449285
