province,topic,date,content,label,score
辽宁省,共担重大使命推动协同发展在新征程上谱写深化对口合作崭新篇章,2023-06-13,6月12日，辽宁省党政代表团赴江苏省学习考察，结合正在开展的主题教育，深入学习贯彻党的二十大精神，认真贯彻落实习近平总书记关于促进区域协调发展的重要论述，学习借鉴江苏先进经验，落实深化对口合作各项任务，在推动高质量发展中实现互利共赢，携手为服务国家战略、推进中国式现代化贡献力量。学习考察期间，两省在南京举行江苏省·辽宁省对口合作工作交流座谈会。省委书记、省人大常委会主任郝鹏出席座谈会并讲话，江苏省委书记、省人大常委会主任信长星主持座谈会并讲话。省委副书记、省长李乐成，江苏省委副书记、省长许昆林分别介绍两省经济社会发展和对口合作情况。省政协主席周波，江苏省政协主席张义珍出席座谈会。。6月12日，辽宁省党政代表团赴江苏省学习考察并举行江苏省·辽宁省对口合作工作交流座谈会。。郝鹏代表省委、省政府对江苏长期以来给予辽宁振兴发展的大力支持帮助表示感谢。他说，近年来，江苏深入贯彻落实习近平总书记重要讲话和对江苏工作重要指示精神，牢牢把握“四个必须”重要要求，不断书写“强富美高”这篇大文章，在高质量发展上持续走在前列，为全国大局作出了新的贡献。江苏经济社会发展取得的巨大成就令人由衷钦佩，聚力高质量发展的成功经验和干部群众敢闯敢干的工作作风值得我们学习。辽宁与江苏开展全方位、多层次的合作对接，是贯彻落实习近平总书记重要指示精神的具体行动。开展对口合作使双方结下了深厚情谊，有力推动了辽宁思想观念不断解放、体制机制不断创新，为辽宁振兴发展注入了强劲动力。辽宁与江苏共同承担着推动高质量发展、服务国家重大战略的使命，希望双方进一步健全完善对口合作机制，在产业合作上精准对接，共同推动产业链供应链互联互通；在科技创新上合力攻坚，共同为国家高水平科技自立自强作出新贡献；在平台建设上加深合作，共同建设高水平示范园区；在干部人才上加强交流互动，共同打造高水平人才队伍，携手在推进中国式现代化新征程上谱写对口合作崭新篇章，共同为强国建设、民族复兴作出更大贡献。。信长星代表江苏省委、省政府对辽宁省党政代表团的到来表示欢迎，对辽宁长期以来给予江苏发展的大力支持表示感谢。他说，辽宁是“共和国长子”，近年来深入贯彻习近平总书记关于东北振兴的重要论述，把握新机遇，找准发力点，坚决打好新时代东北振兴、辽宁振兴的“辽沈战役”，以“扛起国家重担、焕发青春”的新气象新担当新作为实现全面振兴的新突破。辽宁发展的美好前景令人振奋、充满期待。江苏和辽宁一样，承载习近平总书记的殷殷嘱托，深受党中央的深切关怀，担负着“在高质量发展上继续走在前列”的重大使命。当前，江苏正深入学习贯彻习近平总书记重要讲话精神，深入开展主题教育，以勇挑大梁、走在前列的责任担当，全面推进中国式现代化江苏新实践。苏辽两省情谊深厚，自建立对口合作关系以来，双方携手同行，各项工作取得扎实成效。奋进新征程，我们将认真落实党中央决策部署，与辽宁深化重大战略对接，在共担时代重任中同铸“大国重器”，在共建“一带一路”中同促内外开放，在共促协作发展中同聚强劲动能，高质量打造苏辽对口合作“升级版”，为强国建设、民族复兴添砖加瓦、增光添彩。。会上，李乐成、许昆林代表两省签署了《辽宁省人民政府 江苏省人民政府对口合作框架协议》。。在江苏期间，辽宁省党政代表团考察了菲尼克斯（中国）有限公司、网络通信与安全紫金山实验室、南瑞继保电气有限公司、亿嘉和科技股份有限公司，学习江苏在大力发展实体经济、推进智能制造、促进科技成果转化、高标准打造营商环境等方面的先进经验和成功做法。,政府领导到其他城市考察学习或访问,0.6032964451274047
辽宁省,大连市政府召开第七十六次常务会议,2020-06-24,6月23日，市政府召开第七十六次常务会议，深入交流大连市代表团赴沈阳市学习考察情况，研究部署下一阶段工作；审议通过相关议题，部署近期市政府重点工作。市长陈绍旺主持会议并讲话，市政府领导班子成员参加会议。。会议通报大连市代表团赴沈阳学习考察情况，传达省委常委、市委书记谭作钧在学习考察总结会上的讲话精神。会议指出，这是一次对标先进、寻找差距的学习之旅，也是一次开拓视野、提升境界的收获之旅，更是一次激发斗志、坚定信心的鼓劲之旅。我们必须以等不起、坐不住、慢不得的紧迫感和危机感，认真对标对表，全面检视剖析，开展一场深刻自我革命。要牢牢把握新发展理念的内在要求，坚决破除安于现状的守成思想、僵化保守的官本位思想，坚决摒除自满自足的心态，认真学习借鉴沈阳及其他城市的好经验、好做法、好作风，打一场奋起直追、赶超进位的主动仗、翻身仗。。会议强调，要坚持以习近平总书记重要讲话和指示批示精神为根本遵循，积极构建大连市与沈阳市的协调合作关系，做好两市“合作交流备忘录”分解落实工作，在加快形成两地高质量发展的区域经济布局上拿出新举措、结出新硕果。要认真学习借鉴沈阳市的好经验、好做法，以龙头企业带动产业聚集，以创新驱动引领产业升级，以腾笼换鸟焕发城市活力，以需求为中心改善营商环境。要勇于担当、善于作为，认真落实项目攻坚年实施方案，把项目紧紧抓在手上，把招商引资作为政府工作的重中之重，坚决打赢项目推进攻坚战。要加大督查考核力度，把项目建设和招商引资纳入绩效考核，强化考核结果运用，强力推动各项工作落实见效。。会议审议通过《大连市扩大有效投资稳定经济发展的若干政策措施》，强调，要坚决贯彻落实习近平总书记重要讲话精神和党中央决策部署，不折不扣抓好各项政策措施落地落实，扎实做好“六稳”工作，落实“六保”任务。要明确职责分工，完善工作机制，压实各级责任，把各项政策措施转化为工作成效和发展优势。要大力推进项目建设，加快谋划实施一批打基础、强功能、利长远的重大基础设施项目和重大产业项目。。会议专题学习了《中华人民共和国传染病防治法》，强调，各地区、各部门要坚持以习近平总书记重要讲话和指示批示精神为指导，加大《传染病防治法》学习宣传力度，用法治思维和法治方式开展疫情防控。要严格履行法定职责，认真落实各级政府主体责任和部门监管责任，确保大连市传染病防治工作网络严密、反应迅速，措施有效、防控有力。要始终把人民群众生命安全和身体健康放在第一位，严格执行疫情防控和应急处置法律法规，坚持在法治轨道上统筹推进各项防控工作，为夺取“双胜利”提供坚强保障。。会议还审议了《大连市最低生活保障办法实施细则》《大连市军人随军家属就业安置实施意见》《关于建立国土空间规划体系并监督实施的实施意见》等议题，研究了其他事项。,政府领导到其他城市考察学习或访问,0.6395522055408203
辽宁省,对标先进促进发展深化沪辽务实合作共同为服务国家重大战略作出新贡献,2023-06-14,6月13日，辽宁省党政代表团赴上海市学习考察，结合正在开展的主题教育，深入学习贯彻党的二十大精神，认真贯彻落实习近平总书记关于促进区域协调发展的重要论述，学习借鉴上海先进经验做法，拓展沪辽多领域多层次务实合作，更好实现互利共赢、协同发展。学习考察期间，两省市举行上海市·辽宁省交流合作座谈会。上海市委书记陈吉宁主持座谈会并讲话。省委书记、省人大常委会主任郝鹏出席座谈会并讲话。省委副书记、省长李乐成，上海市委副书记、市长龚正分别介绍两省市经济社会发展以及上海市、大连市对口合作工作有关情况。省政协主席周波出席座谈会。。陈吉宁代表市委、市人大常委会、市政府、市政协，感谢辽宁省长期以来给予上海发展的支持帮助。他说，辽宁省深入贯彻落实习近平总书记关于东北振兴重要论述，加快实施辽宁全面振兴新突破三年行动，全力以赴育先机、开新局，改革开放向纵深推进，创新驱动发展取得新成效，辽宁干部群众奋发有为、奋勇争先的精气神和形成的好做法、好经验，值得上海认真学习借鉴。。陈吉宁说，新起点上，上海将坚决贯彻党中央、国务院部署要求，与辽宁省、大连市一道，加快探索建立南北经济高效互动合作、跨区域高水平协同发展的新模式，推动两地合作交流不断取得新成绩、打造新标杆、体现新水平，实现高质量发展，更好服务和融入新发展格局。发挥两地红色资源丰富优势，共同弘扬红色文化、讲好红色故事。在服务高水平科技自立自强上深化合作，加强项目对接、平台对接、人才对接，实现优势互补。在建设现代化产业体系上紧密互动，共同提升产业链供应链的稳定性和竞争力。在深化高水平对外开放上相互借鉴，对接国际高标准经贸规则，共享共用进博会等国际交流大平台，共同拓展对外开放新空间。在扩内需促消费、服务构建全国统一大市场上加强协同，深化特色产品、文化旅游等合作，更好服务全国发展大局。。郝鹏代表省委、省政府对上海长期以来给予辽宁振兴发展的大力支持帮助表示感谢。他说，近年来，上海市坚持按照习近平总书记“继续当好全国改革开放排头兵、创新发展先行者”的重要要求，加快建设具有世界影响力的社会主义现代化国际大都市，经济社会发展取得的巨大成就令人由衷钦佩、深受鼓舞，上海开放的格局视野、敢为人先的胆识魄力、推动高质量发展的先进做法值得我们认真学习借鉴。上海与大连开展全方位对口合作，是深入贯彻落实习近平总书记重要指示精神的具体举措。沪连对口合作促进了大连产业发展、科技创新和人才引育，同时也为辽宁振兴发展注入了新活力。在推进中国式现代化新征程上，我们愿同上海一道，牢记习近平总书记嘱托，完整、准确、全面贯彻新发展理念，以沪连对口合作为纽带，推动上海、辽宁交流合作进一步走深走实，在产业发展上互补互促，努力建设现代化产业体系，共同维护国家产业安全；在科技创新上协同发展，共同助力实现高水平科技自立自强；在重大平台建设上携手共进，共同提高对外开放能级水平。希望双方在互利共赢中推动沪连对口合作再上新台阶，沪辽务实合作再结新硕果，共同在国家区域协调发展和中国式现代化建设中作出更大贡献。。在上海期间，辽宁省党政代表团瞻仰了中共一大纪念馆，认真聆听讲解，仔细观看图片实物，深刻感悟中国共产党人的初心使命，从伟大建党精神中汲取奋进力量；考察了上海中心大厦、张江科学城、上海亿通国际股份有限公司、浦东新区城市运行综合管理中心，学习上海在促进金融业高质量发展、推动社会治理体系和治理能力现代化、深入推进科技创新体制机制改革、深化航运贸易一体化智慧服务等方面的先进经验和成功做法。,政府领导到其他城市考察学习或访问,0.7027913735903869
辽宁省,坚定信心决心发挥比较优势激活潜力动力结合实际把学习成果转化为推动全面振兴实际成效,2023-06-16,坚定信心决心 发挥比较优势 激活潜力动力 结合实际把学习成果转化为推动全面振兴实际成效。6月16日，在圆满结束赴江苏、上海、浙江、安徽学习考察后，辽宁省党政代表团在沈阳举行总结交流会，分享心得体会，相互启发借鉴，紧密结合辽宁振兴发展实际，明确努力方向，进一步把学习考察成果转化为推动高质量发展的具体实践。省委书记、省人大常委会主任郝鹏主持会议并讲话，省委副书记、省长李乐成出席会议并讲话。。郝鹏指出，组织辽宁省党政代表团赴长三角三省一市学习考察，是省委全面贯彻落实党的二十大精神，深入贯彻落实习近平总书记关于辽宁振兴发展的重要指示精神的务实举措，是推动主题教育走深走实的具体行动。此次学习考察，虽然时间短暂，但我们有备而去、突出重点、力求实效，跳出辽宁看辽宁、站位全国大局看辽宁，对标了先进、看到了差距、受到了启迪，进一步深化了与江苏上海间的对口合作，加深了与浙江安徽的沟通交流，总体达到了预期目的。考察中我们看到，党的十八大以来，三省一市党委政府始终坚决贯彻落实习近平总书记重要指示精神，坚定不移地干、久久为功地闯，实现了质量高、效益好、结构优的增长，经济社会发展走在全国前列。三省一市日新月异的变化让我们深刻感悟到习近平新时代中国特色社会主义思想的真理力量和实践伟力，更加坚定了辽宁沿着习近平总书记指引的方向，奋力实现全面振兴新突破的信心决心。考察中我们体会到，三省一市牢牢把握高质量发展这个首要任务，坚持有效市场和有为政府相结合，在发展新产业、开辟新赛道上抢先抓早、后劲十足，在科技创新、吸引人才上机制灵活、成绩亮眼，在打造一流营商环境上不断探索、推陈出新，在对外开放上站位高远、富于时代感，在城市社会管理、美丽乡村建设上科学智能、精致精细，我们要充分吸收借鉴三省一市的好经验好做法，结合辽宁实际补齐短板、拉长长板，不断提升经济社会发展的质量和水平，以一域之光为全局添彩。。郝鹏强调，要深入贯彻落实习近平总书记关于辽宁振兴发展的重要指示精神，进一步增强推动全面振兴新突破的责任感、使命感和不进则退、慢进亦退的紧迫感、危机感，全面动起来、干起来、紧张起来，切实把学习成果转化运用到本地区本部门实际工作当中，奋力保持追赶超越态势，扎扎实实把辽宁自己的事情办得更好。要充分发挥产业、科教、人才、开放等方面的比较优势，着力构建现代化产业体系，以科技赋能、数字赋能助力实体经济发展，积极抢占新赛道、开辟新领域，不断为高质量发展注入新动能。要打造营商环境“升级版”，着力营造尊商敬商的浓厚氛围，坚决做到“讲诚信、懂规矩、守纪律”，各级领导干部要增强服务意识，真心实意地为企业家靠前服务、排忧解难，为各类企业发展壮大搭“梯子”、筑“跑道”，以更大力度完善科技创新、人才发展体制机制，努力营造更具吸引力的创新创业氛围。要对标先进，进一步提高标准、拉高标杆，不断增强各级干部谋项目、抓创新、促改革的能力素养，提高执行省委工作部署的主动性、创造性、实效性。要进一步推动与三省一市交流合作走深走实，抓紧细化落实与江苏、上海签订的合作协议，建立完善与浙江、安徽交流合作机制，加快推动开展多领域的务实合作。要加力推进当前各项重点工作，锚定全面振兴新突破三年行动确定的各项目标任务，加强调度分析，加快推进落实，巩固好一季度的经济发展良好态势，确保实现上半年“时间过半、任务过半”。。省领导王健、张成中出席会议，陈向群讲话。鞍山、锦州、营口、省发展改革委、省科技厅、省工业和信息化厅、省财政厅主要负责同志作交流发言。,政府领导到其他城市考察学习或访问,0.0
辽宁省,辽宁监狱系统智慧监狱考察组赴深圳安博会学习考察,2019-11-04,为加快推进我省“智慧监狱”建设，了解和掌握国内外最新的安防技术、信息化产品和应用案例，10月27日至30日，由省司法厅副厅长、监狱管理局局长张振铎，副局长李志山，以及省司法厅、省监狱局及监狱系统部分单位的领导同志组成考察组赴深圳，参加了第十七届国际公共安全博览会（以下简称“安博会”），并对信息化建设领域高端企业进行学习考察。。考察期间，考察组一行分别到大华、海康、依图、华为、宇视、佳都等国内外知名业界公司的展厅，观看安防产品和技术演示，参加了浙江大华公司举办的智慧司法论坛，听取了“视频物联 智慧孪生”专题讲座、监狱大数据平台演示讲解、贵州省北斗山监狱“智慧监狱”建设及与大华公司合作情况介绍，以及大华公司智慧监狱整体解决方案。。考察组一行还赶赴华为公司总部，与华为公司中国区副总裁、安平事业部总经理岳坤先生等就“智慧司法”“智慧监狱”建设领域相关问题进行了座谈。座谈会上，张振铎局长致辞，对华为公司超强的企业实力以及自我革新的企业精神表示出由衷的敬意，并重点介绍了我省“数字法治”智慧司法”“智慧监狱”建设情况。张振铎局长说，双方合作前景看好，希望双方构建合作的新平台、新机制，并邀请华为公司免费为全系统信息化建设进行顶层设计。座谈后，由双方代表签署了信息化战略框架协议，未来将在联合创新、产品应用、人员培训等方面深化合作，实现优势互补和互利双赢。签约仪式完成后，考察组还参观了华为公司安平事业部展厅，现场领略到华为深厚的企业文化底蕴和科技创新精神。。结束考察当晚，张振铎局长组织考察组全体人员召开研讨会。会上，大家各抒己见、畅所欲言，分享此次学习考察感受，一致认为很受触动，很受启发，学到了知识、学到了技能，开拓了眼界，更新了观念，为我省智慧监狱建设提供了可资借鉴的有益经验。。张振铎局长讲话充分结合本次学习考察及下一步重点工作。他指出：要全面解放思想，树立大数据意识。“智慧监狱”建设不仅是一项具体工作，更是一项系统工程。在建设过程中，要以先进开放、共享融合的发展理念，科学合理、务实高效地做好顶层设计，以改革创新的勇气打破常规，充分发挥现代化信息技术助力监狱事业发展的科技优势，充分利用大数据，统筹协调优化配置资源。他强调，要坚持问题导向，倒逼警务勤务改革。要以数据融合、信息汇聚为切入点，打通壁垒，实现全系统各管理层级、各业务部门的信息资源整合，实行联合作战、综合研判，提高警务勤务效能，真正实现向科技要警力、要安全、要战斗力的目标。要强化“智慧监狱”建设标准落实。要建立统一标准，做好总体规划，坚持“一张蓝图绘到底”。各单位要服从大局，树立一盘棋思想，综合考虑系统集成、资源整合等关键要素，做好顶层方案设计，确保“智慧监狱”建设项目对标实施。要联合创新，全面推进。要与信息技术业内知名企业建立“联合实验室”，联合开展技术研发、升级，并选择有代表性的基层单位，进行新技术、新产品试点运行，发挥示范作用；全省监狱要统筹规划，开展好通用设备和软件建设项目实施。。本次参观考察的6家公司新产品、新技术精彩纷呈，新思路、新理念层出不穷，代表了业界最高水平，引领了行业未来趋势。全省监狱系统将以此为契机，凝聚智慧、汇集力量，充分发挥信息技术在监狱安全防控、执勤管理等方面的重要作用，推动全省监狱智慧化安防水平的整体提升。,政府领导到其他城市考察学习或访问,0.7023396156835967
辽宁省,谭作钧陈绍旺率大连市党政代表团在沪学习考察,2020-07-15,"13日，谭作钧、陈绍旺一行前往上海市徐汇区行政服务中心，现场学习“一网通办”改革经验。该区行政服务中心与区大数据中心、城市网格化综合管理中心一体化运行，构建“指尖上、家门口、一体化”的工作体系，369项区级涉企审批事项98%入驻，全市通办个人事项100%入驻，24小时自助服务实现654项政务事项“不打烊”办理。“一窗办”“前中后台一体化”“一次成”及自助服务等智能政务服务工作体系，打造最优服务体验的先进经验给代表团一行留下深刻印象。。代表团一行还来到位于新华路历史风貌区旧城改造项目上生·新所，详细了解城市更新项目规划建设和运行情况。围绕“尊重历史文脉、延续城市脉络、创建新老建筑对话、多样共享共生”的主题，3栋历史建筑、11栋工业厂房和4栋新建建筑共同打造出以文化、艺术、时尚和新媒体为特色的国际化文化艺术生活圈。上海市在历史风貌街区保护与改造利用方面的成功经验让代表团一行眼前一亮。当晚，代表团一行还前往豫园文化夜经济点参观学习，现场感受夜上海的繁华与活力。。14日，大连市党政代表团一行来到杨浦滨江，学习上海“城市更新”“黄浦江岸线整治”经验。曾是中国近代工业聚集地的杨浦滨江沿岸，如今改造后的众多老厂房华丽“变身”，在重现上海百年工业文明的同时，为百姓打造一个亲水的“城市客厅”和宜人的“生活街区”。乐在其中健身休闲、观光旅游，滨江岸线已成为上海市民和游客最喜欢的亲水岸线。参观完后，大家共同的感受是上海市在提升城市建设水平和管理品质的许多先进经验值得认真学习借鉴。。在上海市大数据中心，代表团一行深入了解上海“一网通办”的成功经验。以高效办成一件事为目标，强力推进业务流程的革命性再造，从以部门管理为中心向以用户服务为中心转变，整合全市公共数据资源，实现所有面向企业市民的政务服务“进一网、能通办”。通过视频演示和现场互动交流，上海在数据归集、流程再造、“一网通办”等方面的经验做法给代表团一行很大启发。同样让大家受益匪浅的还有浦东城市运行“一网通管”的工作经验。在浦东城市运行综合管理中心，代表团一行详细了解大数据、智能化提升城市精细化管理的经验做法。浦东新区围绕城市设施、运维、环境、交通、安全、执法等领域，研发了一系列精细化应用场景，深化拓展城市综合管理功能，下足了“绣花”功夫。。代表团一行还前往张江科学城展示厅，详细了解上海科创中心建设经验。上海光源、超强超短激光实验装置、国家蛋白质科学研究设施……张江科学城发挥一系列大科学装置集群效应，以推动重大原始创新成果为目标，促进全球创新资源集聚，助推上海加快向具有全球影响力的科技创新中心进军。通过学习考察，大家更加坚定了深入实施创新驱动发展战略，努力形成创新性成果、关键性技术、引领性产业，高质量建设东北亚科技创新创业创投中心的决心和信心。在漕河泾开发区，代表团一行学习漕河泾公司化建设、运营、管理园区的先进经验。2019年，园区实现营业收入4191亿元，利润总额336亿元，在上海市2.27‰土地面积上，创造了GDP的3.9%。对比漕河泾的发展，代表团一行既看到了大连的差距，也认识到发展的潜力。在随后召开的经验交流会上，漕河泾总公司、上海市商委、上海市发改委有关负责同志先后介绍了园区建设运营管理、上海夜经济规划发展、长三角生态绿色一体化发展的经验。既有理论高度又有实践经验的精彩讲解,让代表团一行受到很大启发。。市领导王炳森、卢林、熊博力、李鹏宇、曾波、靳国卫，市政府秘书长衣庆焘，市委、市政府有关部门及各区市县、开放先导区主要负责同志参加学习考察。",政府领导到其他城市考察学习或访问,0.0
辽宁省,传达学习贯彻习近平总书记关于党的建设和组织工作的重要指示,2023-07-05,7月4日，省委常委会召开会议，传达学习习近平总书记对党的建设和组织工作作出的重要指示，传达全国组织工作会议精神，研究部署我省贯彻落实工作。省委书记郝鹏主持会议。。会议指出，习近平总书记的重要指示，高屋建瓴、立意深远，具有很强的政治性、思想性、指导性，为做好党的建设和组织工作进一步指明了前进方向。我们要深入学习领会习近平总书记重要指示精神和全国组织工作会议精神，认真抓好贯彻落实。。会议强调，要深入学习贯彻习近平总书记关于党的建设的重要思想，充分认识这一重要思想以一系列原创性成果极大丰富和发展了马克思主义建党学说，标志着我们党对马克思主义执政党建设规律的认识达到了新高度，为深入推进新时代党的建设新的伟大工程、做好新时代组织工作提供了根本遵循，我们必须长期坚持、全面落实。。会议强调，要在贯彻落实党的二十大战略部署中把准组织工作定位，在加强党的领导、推进党的事业、全面从严治党中充分发挥职能作用，教育引导全省广大党员干部坚定拥护“两个确立”、坚决做到“两个维护”，不断提高全省党的建设和组织工作水平，为实现全面振兴新突破提供坚强组织保证。要以主题教育为契机，进一步完善理论学习长效机制，持续加强党的创新理论武装，坚持不懈用习近平新时代中国特色社会主义思想凝心铸魂。要持续优化干部选育管用工作，树立鲜明用人导向，适应事业发展需要，坚持人岗相适，进一步拓宽选人用人视野，加强专业化培训，提升干部素质能力，加强各级领导班子建设，落实好“三个区分开来”，激励干部担当作为。要加强干部管理监督，管好“关键少数”，教育广大干部知敬畏、存戒惧、守底线。要高质量做好人才工作，全方位培养引进用好人才，下大气力研究制定更加精准化的人才服务保障政策，进一步深化人才发展体制机制改革，更好发挥人才在实现全面振兴新突破中的作用。要着力增强党组织政治功能和组织功能，树立大抓基层的鲜明导向，加强各领域基层组织建设，加强新经济组织、新社会组织、新就业群体党的建设，坚持从严管理党员，全面提高党员队伍素质。要加强组织部门自身建设，持续深化政治机关建设，着力建设讲政治、重公道、业务精、作风好的模范部门。全省各级党委（党组）要加强对组织工作的领导，定期研究解决重大问题，为组织部门开展工作创造良好条件。。会议审议了《辽宁省党政代表团赴江苏、上海、浙江和安徽三省一市学习考察报告》，指出此次学习考察，我们站位全国大局看辽宁、跳出辽宁看辽宁、对标先进看辽宁，通过三省一市日新月异的发展变化，让我们更加深刻感悟到习近平新时代中国特色社会主义思想的真理力量和实践伟力。三省一市牢牢把握高质量发展这个首要任务，坚持有效市场和有为政府相结合，在发展新产业开辟新赛道、打造一流营商环境、美丽乡村建设等领域的好经验好做法，值得我们学习借鉴。辽宁资源禀赋优越、基础条件良好、发展潜力巨大，大干必有成果，奋斗就有回报。通过此次学习考察，我们要进一步统一思想行动、坚定信心决心，大干三年、奋斗三年，切实把全面振兴新突破三年行动抓紧抓实抓出成效，一步一个脚印地把习近平总书记为辽宁擘画的宏伟蓝图变成现实。要紧密结合辽宁实际，切实抓好这次学习考察成果的转化落实，在推进全面振兴新突破三年行动的具体实践中取得实际成效。要进一步深化辽苏、沪连对口合作，加快建立健全辽浙、辽皖全面合作机制，有关部门要加强指导协调，强化工作跟进，推动辽宁与三省一市交流合作走深走实。,政府领导到其他城市考察学习或访问,0.9596429377162788
辽宁省,铁岭市招商部门赴沈考察学习,2022-01-21,1月19日，全市招商部门负责人到沈阳辉山经济开发区考察招商引资和项目建设工作，召开座谈会进行交流学习。。座谈会上，沈阳辉山经开区介绍了经开区管理体制、运行机制、机构设置、考核评价等有关情况，分享了招商引资和项目建设有关经验。双方结合各自实际，畅所欲言、坦抒己见，分别就完善招商体制机制、组建专业招商队伍、深化招商领域务实合作等进行了深入交流，分享了各自在招商引资和项目建设方面工作经验。双方一致认为，铁岭与沈阳辉山经济开发区互为近邻，山水相连、地缘相近、民心相通，合作空间巨大，应在招商引资和项目建设上加强合作、相互学习、各取所长，携手为融入构建沈阳现代化都市圈作出贡献。。市领导表示，全市招商部门要以此次考察学习为契机，进一步提升招商引资上项目的责任感、紧迫感，推动本地区招商引资和项目建设工作提速提效提质，全力以赴争取更多工作成果。,其他,0.7833504237497667
辽宁省,赖化平带队赴外地考察学习先进经验推动电商产业,2020-05-25,5月22日，副市长赖化平率海州区考察组前往葫芦岛兴城市电商直播基地，深入实地学习发展电商直播产业的经验做法。。考察组先后到葫芦岛兴城市电商直播基地、海兴隆水产品有限公司、菊花女食品加工有限公司学习考察，实地参观直播基地会展中心、网络直播间等场所，亲身感受电商直播行业的工作环境与氛围，现场了解具体做法和工作成效。随后召开座谈会，就网络直播体系建设、运营模式、行业需求、发展前景等进行了深入交流。。赖化平指出，要认真总结梳理葫芦岛兴城市电商直播基地建设的经验做法，尽快把学习成果转化为推动工作的具体举措，并与葫芦岛兴城市各级领导和相关部门、企业加强沟通联系，力争充分发挥双方各类基础优势，形成工作合力，做成做大“网红经济”，助力阜新电子商务产业发展。,政府领导到其他城市考察学习或访问,0.0
辽宁省,线上线下齐发力低碳环保共践行,2020-07-03,7月2日是全国低碳日，今年的主题是“绿色低碳，全面小康”。市生态环境局通过线上线下两种形式，开展节能知识宣传和学习活动，倡导公众共同践行简约适度、绿色低碳的生活方式。。当日上午9时，市生态环境局在中山公园南门开展了低碳日宣传活动。活动现场摆放着宣传咨询台，人行道边挂起横幅标语，写着“传播低碳知识，参与低碳发展”“美丽中国，我是行动者”，提示过往行人关注、参与绿色低碳和环保节能行动。环保志愿者现场发放《保护臭氧层，加速淘汰含氢氯氟烃》《“看”清身边的辐射》等宣传册5000余本，并向市民讲解了低碳衣着、低碳出行、低碳购物、低碳居住、垃圾分类等低碳知识和辐射知识，推荐节约能源资源、绿色消费、低碳出行等绿色低碳生活小妙招，号召大家从每一件小事做起，从每一个生活细节做起，节约每一滴水、每一度电、每一方气，低碳行动。环保志愿者在发放宣传品的同时，还清理了公园的环境卫生，共计捡拾塑料、废纸等垃圾10多公斤，其中烟头2000余个。。为扩大低碳日活动的宣传覆盖面，市生态环境局还在大连生态环境微公号开展为期3天的“有奖答题”线上活动，普及应对气候变化知识，宣传低碳发展理念。同时全国节能宣传周期间还将在沙河口区、甘井子区、瓦房店市等地区的社区、机关、学校开展7场科普讲座。,其他,0.9984233743982078
